cleaned_name,match_status,matched_polity_code,matched_polity_name,parent_polity_code,notes
spanish morocco,matched,SPA-1912-1956,Spanish Morocco (1912-1956),,
spanish morocco: ceuta,subnational,SPA-1912-1956,Spanish Morocco (1912-1956),SPA-1912-1956,Subnational: Ceuta
spanish morocco: melilla,subnational,SPA-1912-1956,Spanish Morocco (1912-1956),SPA-1912-1956,Subnational: Melilla
sweden,matched,SWE-1800-2025,Sweden,,
switzerland,matched,CHE-1800-2025,Switzerland,,
territory of the saar basin,matched,DEU-1920-1938,Germany (1920-1938),,
total,aggregate,,,,Total/summary row
total africa,aggregate,,,,Total/summary row
total africa net,aggregate,,,,Total/summary row
total america,aggregate,,,,Total/summary row
total america net,aggregate,,,,Total/summary row
total asia,aggregate,,,,Total/summary row
total asia net,aggregate,,,,Total/summary row
total europe,aggregate,,,,Total/summary row
total europe excluding the ussr,aggregate,,,,Total/summary row
total europe net,aggregate,,,,Total/summary row
total europe net excluding the ussr,aggregate,,,,Total/summary row
total excluding the ussr,aggregate,,,,Total/summary row
total general,aggregate,,,,Total/summary row
total general excluding the ussr,aggregate,,,,Total/summary row
total general including the ussr,aggregate,,,,Total/summary row
total general net,aggregate,,,,Total/summary row
total general net excluding the ussr,aggregate,,,,Total/summary row
total net,aggregate,,,,Total/summary row
total net excluding the ussr,aggregate,,,,Total/summary row
total north hemisphere,aggregate,,,,Total/summary row
total north hemisphere aggregated,aggregate,,,,Total/summary row
total north hemisphere aggregated excluding the ussr,aggregate,,,,Total/summary row
total north hemisphere excluding the ussr,aggregate,,,,Total/summary row
total oceania,aggregate,,,,Total/summary row
total oceania excluding the ussr,aggregate,,,,Total/summary row
total oceania net,aggregate,,,,Total/summary row
total south hemisphere,aggregate,,,,Total/summary row
total south hemisphere aggregated,aggregate,,,,Total/summary row
total world,aggregate,,,,Total/summary row
total world excluding the ussr,aggregate,,,,Total/summary row
total world including the ussr,aggregate,,,,Total/summary row
total world net,aggregate,,,,Total/summary row
total world net excluding the ussr,aggregate,,,,Total/summary row
turkey,matched,TUR-1920-2025,Turkiye,,
turkey in asia,subnational,TUR-1920-2025,Turkiye,TUR-1920-2025,Subnational: Turkey in Asia
turkey in europe,subnational,TUR-1920-2025,Turkiye,TUR-1920-2025,Subnational: Turkey in Europe
uk,matched,GBR-1800-1921,United Kingdom (to 1921),,
uk: england and wales,subnational,GBR-1800-1921,United Kingdom (to 1921),GBR-1800-1921,Subnational: England and Wales
uk: great britain,subnational,GBR-1800-1921,United Kingdom (to 1921),GBR-1800-1921,Subnational: Great Britain
uk: north ireland,subnational,GBR-1800-1921,United Kingdom (to 1921),GBR-1800-1921,Subnational: North Ireland
uk: scotland,subnational,GBR-1800-1921,United Kingdom (to 1921),GBR-1800-1921,Subnational: Scotland
union of south africa,matched,ZAF-1828-2025,South Africa,,
union of south africa (rural communities),matched,ZAF-1828-2025,South Africa,,Measurement variant: (rural communities)
union of south africa (trade with foreign countries),matched,ZAF-1828-2025,South Africa,,Measurement variant: (trade with foreign countries)
union of south africa (trade with the rhodesias and south west africa),matched,ZAF-1828-2025,South Africa,,Measurement variant: (trade with the rhodesias and south west africa)
union of south africa (urban communities),matched,ZAF-1828-2025,South Africa,,Measurement variant: (urban communities)
union of south africa: cape province,subnational,ZAF-1828-2025,South Africa,ZAF-1828-2025,Subnational: Cape Province
uruguay,matched,URY-1828-2025,Uruguay,,
us alaska,matched,ALA-1800-1959,Alaska (to 1959),,
us alaska (trade with the united states),matched,ALA-1800-1959,Alaska (to 1959),,Measurement variant: (trade with the united states)
us guam,matched,GUM-1800-2025,Guam,,
us hawaii,matched,HAW-1898-1959,Hawaii (1898-1959),,
us hawaii (trade with foreign countries),matched,HAW-1898-1959,Hawaii (1898-1959),,Measurement variant: (trade with foreign countries)
us hawaii (trade with the united states),matched,HAW-1898-1959,Hawaii (1898-1959),,Measurement variant: (trade with the united states)
us panama canal,matched,PAN-1800-1979,Panama (before Canal Zone),,
us philippines,matched,PHL-1800-2025,Philippines,,
us philippines (area in production),matched,PHL-1800-2025,Philippines,,Measurement variant: (area in production)
us philippines (total area and area in production),matched,PHL-1800-2025,Philippines,,Measurement variant: (total area and area in production)
us philippines (total area),matched,PHL-1800-2025,Philippines,,Measurement variant: (total area)
us puerto rico,matched,PRI-1800-2025,Puerto Rico,,
us puerto rico (trade with foreign countries),matched,PRI-1800-2025,Puerto Rico,,Measurement variant: (trade with foreign countries)
us puerto rico (trade with the united states),matched,PRI-1800-2025,Puerto Rico,,Measurement variant: (trade with the united states)
us samoa,matched,ASM-1900-2025,American Samoa,,
us virgin islands,matched,VIR-1800-2025,United States Virgin Islands,,
usa,matched,USA-1800-1959,United States of America (to 1959),,
usa (non-production area),matched,USA-1800-1959,United States of America (to 1959),,Measurement variant: (non-production area)
usa (not wine grapes),matched,USA-1800-1959,United States of America (to 1959),,Measurement variant: (not wine grapes)
usa (production area),matched,USA-1800-1959,United States of America (to 1959),,Measurement variant: (production area)
usa (raisins),matched,USA-1800-1959,United States of America (to 1959),,Measurement variant: (raisins)
usa (table grapes),matched,USA-1800-1959,United States of America (to 1959),,Measurement variant: (table grapes)
usa (total and production area),matched,USA-1800-1959,United States of America (to 1959),,Measurement variant: (total and production area)
usa (total area),matched,USA-1800-1959,United States of America (to 1959),,Measurement variant: (total area)
usa (trade with alaska),matched,USA-1800-1959,United States of America (to 1959),,Measurement variant: (trade with alaska)
usa (trade with foreign countries),matched,USA-1800-1959,United States of America (to 1959),,Measurement variant: (trade with foreign countries)
usa (trade with hawaii),matched,USA-1800-1959,United States of America (to 1959),,Measurement variant: (trade with hawaii)
usa (trade with puerto rico),matched,USA-1800-1959,United States of America (to 1959),,Measurement variant: (trade with puerto rico)
usa (vines for wine),matched,USA-1800-1959,United States of America (to 1959),,Measurement variant: (vines for wine)
usa (wine grapes),matched,USA-1800-1959,United States of America (to 1959),,Measurement variant: (wine grapes)
usa and canada,matched,USA-1800-1959,United States of America (to 1959),,
usa: california,subnational,USA-1800-1959,United States of America (to 1959),USA-1800-1959,Subnational: California
usa: louisiana and florida,subnational,USA-1800-1959,United States of America (to 1959),USA-1800-1959,Subnational: Louisiana and Florida
"usa: other states different from alaska, california, louisiana and florida",subnational,USA-1800-1959,United States of America (to 1959),USA-1800-1959,Subnational: Other states
ussr,matched,F228-1921-1940,USSR (1921-1940),,
ussr in asia,subnational,F228-1921-1940,USSR (1921-1940),F228-1921-1940,Subnational: USSR in Asia
ussr in europe,subnational,F228-1921-1940,USSR (1921-1940),F228-1921-1940,Subnational: USSR in Europe
ussr: khibiny,subnational,F228-1921-1940,USSR (1921-1940),F228-1921-1940,Subnational: Khibiny
ussr: transcaucasian sfsr,subnational,F228-1921-1940,USSR (1921-1940),F228-1921-1940,Subnational: Transcaucasian SFSR
venezuela,matched,VEN-1821-2025,Venezuela,,
yugoslavia,matched,F248-1920-1991,Yugoslavia (1920-1991),,
