source_label,source,year_start,year_end,common_name,polity_code,confidence,basis,observed_rows,area_code,iso3,match_route,match_status
Greece,faostat,1961,2024,Greece (1947-2025),GRC-1947-2025,high,FAOSTAT area code 84; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,270800,84,GRC,iso-equal,matched
Greenland,faostat,1850,2024,Greenland,GRL-1800-2025,high,FAOSTAT area code 85; no data in scanned pins; registry map to GRL-1800-2025 (1850-2025),0,85,GRL,registry,matched
Grenada,faostat,1961,2024,Grenada,GRD-1800-2025,high,FAOSTAT area code 86; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,164432,86,GRD,iso-equal,matched
Guadeloupe,faostat,1961,2006,Guadeloupe,GLP-1816-2025,high,FAOSTAT area code 87; observed 1961-2006 in pins faostat-production;faostat-trade-totals; iso-equal period match,11766,87,GLP,iso-equal,matched
Guam,faostat,1898,1949,Territory of Guam,GUM-1898-1950,high,FAOSTAT area code 88; no data in scanned pins; registry map to GUM-1898-1950 (1898-1950),0,88,GUM,registry,matched
Guam,faostat,1950,2024,Guam (US Territory),GUM-1950-2025,high,FAOSTAT area code 88; no data in scanned pins; registry map to GUM-1950-2025 (1950-2024),0,88,GUM,registry,matched
Guatemala,faostat,1961,2024,Guatemala,GTM-1821-2025,high,FAOSTAT area code 89; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,225822,89,GTM,iso-equal,matched
Guinea,faostat,1961,2024,Guinea,GIN-1958-2025,high,FAOSTAT area code 90; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,154579,90,GIN,iso-equal,matched
Guyana,faostat,1961,2024,Guyana,GUY-1800-2025,high,FAOSTAT area code 91; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,176306,91,GUY,iso-equal,matched
Haiti,faostat,1961,2024,Haiti,HTI-1800-2025,high,FAOSTAT area code 93; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,153970,93,HTI,iso-equal,matched
Holy See,faostat,1929,2024,Holy See (Vatican City State),VAT-1929-2025,high,"FAOSTAT area code 94; no data in scanned pins; registry map to VAT-1929-2025 (1929-2025). Added 2026-08-13: the polity was created in PR 210 / 201 / 190 for issues 209, 187 and 185, but no map row was added with it, so this area still resolved to ROW-1850-2025 -- the very failure those issues report. year_end is end_year-1 because end_year is EXCLUSIVE here and this column is inclusive (issue 131), the same conversion match.R's registry branch was corrected to make in PR 204.",0,94,VAT,registry,matched
Honduras,faostat,1961,2024,Honduras,HND-1800-2025,high,FAOSTAT area code 95; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,215436,95,HND,iso-equal,matched
"China, Hong Kong SAR",faostat,1961,2024,Hong Kong,HKG-1842-2025,high,FAOSTAT area code 96; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,233347,96,HKG,iso-equal,matched
Hungary,faostat,1961,2024,Hungary (1947-2025),HUN-1947-2025,high,FAOSTAT area code 97; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,257733,97,HUN,iso-equal,matched
Croatia,faostat,1992,2024,Croatia,HRV-1992-2025,high,FAOSTAT area code 98; observed 1992-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,124741,98,HRV,iso-equal,matched
Iceland,faostat,1961,2024,Iceland,ISL-1800-2025,high,FAOSTAT area code 99; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,173015,99,ISL,iso-equal,matched
India,faostat,1961,2024,India,IND-1949-2025,high,FAOSTAT area code 100; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,256727,100,IND,iso-equal,matched
Indonesia,faostat,1961,1962,Indonesia (1949-1963),IDN-1949-1963,high,FAOSTAT area code 101; split at 1963 not 1969 per issue 23 (West New Guinea passed to Indonesia 1963-05-01); observed 1961-1968 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,253781,101,IDN,iso-equal,matched
Indonesia,faostat,1963,1975,Indonesia (1963-1976),IDN-1963-1976,high,FAOSTAT area code 101; range starts 1963 not 1969 per issue 23 (West New Guinea passed to Indonesia 1963-05-01); observed 1963-1975 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,253781,101,IDN,iso-equal,matched
Indonesia,faostat,1976,2001,Indonesia excluding East Timor (1976-2002),IDN-XTL-1976-2002,high,"FAOSTAT area code 101; observed 1976-2001 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; manual-territory period match; FAOSTAT Timor-Leste (area 176) reports East Timor separately for every year 1961-2024, so area 101 Indonesia 1976-2001 is Indonesia net of East Timor (no break in area 101 at 2002: harvested area 2001 31.72 Mha, 2002 31.97 Mha)",253781,101,IDN,manual-territory,matched
Indonesia,faostat,2002,2024,Indonesia,IDN-2002-2025,high,FAOSTAT area code 101; observed 2002-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,253781,101,IDN,iso-equal,matched
Iran (Islamic Republic of),faostat,1961,2024,Iran,IRN-1828-2025,high,FAOSTAT area code 102; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,220758,102,IRN,iso-equal,matched
Iraq,faostat,1961,2024,Iraq,IRQ-1932-2025,high,FAOSTAT area code 103; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,179170,103,IRQ,iso-equal,matched
Ireland,faostat,1961,2024,Ireland,IRL-1921-2025,high,FAOSTAT area code 104; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,248859,104,IRL,iso-equal,matched
Israel,faostat,1961,1966,Israel (1948-1967),ISR-1948-1967,high,FAOSTAT area code 105; observed 1961-1966 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,236803,105,ISR,iso-equal,matched
Israel,faostat,1967,2024,Israeli national statistics area (1967-2025),ISR-RA-1967-2025,high,"FAOSTAT area code 105; observed 1967-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; manual-territory period match; FAOSTAT Israel shows no step in 1967 (olives harvested 11,400 ha in 1966, 11,000 ha in 1967; total harvested area 288,073 -> 316,025 ha, 2% above 1965) and area 299 Palestine reports the West Bank and Gaza from 1991: the series follows the area of Israeli national statistics",236803,105,ISR,manual-territory,matched
Italy,faostat,1961,2024,Italy,ITA-1919-2025,high,FAOSTAT area code 106; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,280391,106,ITA,iso-equal,matched
Côte d'Ivoire,faostat,1961,2024,Côte d'Ivoire,CIV-1960-2025,high,FAOSTAT area code 107; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,210471,107,CIV,iso-equal,matched
Kazakhstan,faostat,1992,2024,Kazakhstan,KAZ-1991-2025,high,FAOSTAT area code 108; observed 1992-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,122730,108,KAZ,iso-equal,matched
Jamaica,faostat,1961,2024,Jamaica,JAM-1800-2025,high,FAOSTAT area code 109; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,201211,109,JAM,iso-equal,matched
Japan,faostat,1961,2024,Japan,JPN-1952-2025,high,FAOSTAT area code 110; observed 1961-2024 in pins faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,231525,110,JPN,iso-equal,matched
Jordan,faostat,1961,2024,Jordan,JOR-1946-2025,high,FAOSTAT area code 112; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,216937,112,JOR,iso-equal,matched
Kyrgyzstan,faostat,1992,2024,Kyrgyzstan,KGZ-1991-2025,high,FAOSTAT area code 113; observed 1992-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,105576,113,KGZ,iso-equal,matched
Kenya,faostat,1961,1962,Kenya (1926-1963),KEN-1926-1963,high,FAOSTAT area code 114; observed 1961-1962 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,242346,114,KEN,iso-equal,matched
Kenya,faostat,1963,2024,Kenya,KEN-1963-2025,high,FAOSTAT area code 114; observed 1963-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,242346,114,KEN,iso-equal,matched
Cambodia,faostat,1961,2024,Cambodia,KHM-1953-2025,high,FAOSTAT area code 115; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,169645,115,KHM,iso-equal,matched
Democratic People's Republic of Korea,faostat,1961,2024,North Korea,PRK-1948-2025,high,FAOSTAT area code 116; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,111985,116,PRK,iso-equal,matched
Republic of Korea,faostat,1961,2024,South Korea,KOR-1948-2025,high,FAOSTAT area code 117; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,248986,117,KOR,iso-equal,matched
Kuwait,faostat,1961,2024,Kuwait,KWT-1800-2025,high,FAOSTAT area code 118; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,190447,118,KWT,iso-equal,matched
Latvia,faostat,1992,2024,Latvia,LVA-1991-2025,high,FAOSTAT area code 119; observed 1992-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,122570,119,LVA,iso-equal,matched
Lao People's Democratic Republic,faostat,1961,2024,Laos,LAO-1954-2025,high,FAOSTAT area code 120; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,137927,120,LAO,iso-equal,matched
Lebanon,faostat,1961,2024,Lebanon,LBN-1944-2025,high,FAOSTAT area code 121; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,228113,121,LBN,iso-equal,matched
Lesotho,faostat,1961,1965,Lesotho (1886-1966),LSO-1886-1966,high,FAOSTAT area code 122; observed 1961-1965 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,111171,122,LSO,iso-equal,matched
Lesotho,faostat,1966,2024,Lesotho,LSO-1966-2025,high,FAOSTAT area code 122; observed 1966-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,111171,122,LSO,iso-equal,matched
Liberia,faostat,1961,2024,Liberia,LBR-1847-2025,high,FAOSTAT area code 123; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,137375,123,LBR,iso-equal,matched
Libya,faostat,1961,2024,Libya,LBY-1951-2025,high,FAOSTAT area code 124; observed 1961-2024 in pins faostat-cbs-new;faostat-fbs-new;faostat-production;faostat-trade-totals; iso-equal period match,82729,124,LBY,iso-equal,matched
Liechtenstein,faostat,1850,2024,Liechtenstein,LIE-1800-2025,high,FAOSTAT area code 125; no data in scanned pins; registry map to LIE-1800-2025 (1850-2025),0,125,LIE,registry,matched
Lithuania,faostat,1992,2024,Lithuania,LTU-1991-2025,high,FAOSTAT area code 126; observed 1992-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,125108,126,LTU,iso-equal,matched
Marshall Islands,faostat,1991,2024,Marshall Islands,MHL-1874-2025,high,FAOSTAT area code 127; observed 1991-2024 in pins faostat-cbs-new;faostat-fbs-new;faostat-production;faostat-trade-totals; iso-equal period match,22214,127,MHL,iso-equal,matched
"China, Macao SAR",faostat,1961,2024,"China, Macao SAR",MAC-1800-2025,high,FAOSTAT area code 128; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,186366,128,MAC,iso-equal,matched
Madagascar,faostat,1961,2024,Madagascar,MDG-1882-2025,high,FAOSTAT area code 129; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,208707,129,MDG,iso-equal,matched
Malawi,faostat,1961,1963,Nyasaland within Federation of Rhodesia and Nyasaland,MWI-1953-1964,high,FAOSTAT area code 130; observed 1961-1963 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,188265,130,MWI,iso-equal,matched
Malawi,faostat,1964,2024,Malawi,MWI-1964-2025,high,FAOSTAT area code 130; observed 1964-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,188265,130,MWI,iso-equal,matched
Malaysia,faostat,1961,1962,Malaysia (1957-1963),MYS-1957-1963,high,"FAOSTAT area code 131; observed 1961-1962 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; manual-span period match; FAOSTAT Malaysia pre-1963 is the Federation of Malaya (peninsula): natural-rubber production jumps ~23% between 1962 and 1963 when Sabah and Sarawak accede - a territorial step, not organic growth for a tree crop",252617,131,MYS,iso-equal,matched
Malaysia,faostat,1963,1964,Malaysia (1963-1965),MYS-1963-1965,high,FAOSTAT area code 131; observed 1963-1964 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,252617,131,MYS,iso-equal,matched
Malaysia,faostat,1965,2024,Malaysia,MYS-1965-2025,high,FAOSTAT area code 131; observed 1965-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,252617,131,MYS,iso-equal,matched
Maldives,faostat,1961,2024,Maldives,MDV-1800-2025,high,FAOSTAT area code 132; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,133259,132,MDV,iso-equal,matched
Mali,faostat,1961,2024,Mali,MLI-1960-2025,high,FAOSTAT area code 133; observed 1961-2024 in pins faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,161037,133,MLI,iso-equal,matched
Malta,faostat,1961,2024,Malta,MLT-1800-2025,high,FAOSTAT area code 134; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,209139,134,MLT,iso-equal,matched
Martinique,faostat,1961,2006,Martinique,MTQ-1816-2025,high,FAOSTAT area code 135; observed 1961-2006 in pins faostat-production;faostat-trade-totals; iso-equal period match,9541,135,MTQ,iso-equal,matched
Mauritania,faostat,1961,1974,Mauritania (1960-1975),MRT-1960-1975,high,FAOSTAT area code 136; observed 1961-1974 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,150571,136,MRT,iso-equal,matched
Mauritania,faostat,1975,1978,Mauritania (1975-1979),MRT-1975-1979,high,FAOSTAT area code 136; observed 1975-1978 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,150571,136,MRT,iso-equal,matched
Mauritania,faostat,1979,2024,Mauritania,MRT-1979-2025,high,FAOSTAT area code 136; observed 1979-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,150571,136,MRT,iso-equal,matched
Mauritius,faostat,1961,2024,Mauritius,MUS-1800-2025,high,FAOSTAT area code 137; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,207613,137,MUS,iso-equal,matched
Mexico,faostat,1961,2024,Mexico,MEX-1848-2025,high,FAOSTAT area code 138; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,265049,138,MEX,iso-equal,matched
Monaco,faostat,1850,2024,Monaco,MCO-1800-2025,high,FAOSTAT area code 140; no data in scanned pins; registry map to MCO-1800-2025 (1850-2025),0,140,MCO,registry,matched
Mongolia,faostat,1961,2024,Mongolia,MNG-1921-2025,high,FAOSTAT area code 141; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,139896,141,MNG,iso-equal,matched
Montserrat,faostat,1850,2024,Montserrat,MSR-1800-2025,high,FAOSTAT area code 142; no data in scanned pins; registry map to MSR-1800-2025 (1850-2025),0,142,MSR,registry,matched
Morocco,faostat,1961,1974,Morocco (1958-1975),MAR-1958-1975,high,FAOSTAT area code 143; observed 1961-1974 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,248040,143,MAR,iso-equal,matched
Morocco,faostat,1975,1978,Morocco (1975-1979),MAR-1975-1979,high,FAOSTAT area code 143; observed 1975-1978 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,248040,143,MAR,iso-equal,matched
Morocco,faostat,1979,2024,Morocco,MAR-1979-2025,high,FAOSTAT area code 143; observed 1979-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,248040,143,MAR,iso-equal,matched
Mozambique,faostat,1961,1974,Mozambique (1891-1975),MOZ-1891-1975,high,FAOSTAT area code 144; observed 1961-1974 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,183516,144,MOZ,iso-equal,matched
Mozambique,faostat,1975,2024,Mozambique (1975-2025),MOZ-1975-2025,high,FAOSTAT area code 144; observed 1975-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,183516,144,MOZ,iso-equal,matched
Micronesia (Federated States of),faostat,1991,2024,Micronesia,FSM-1991-2025,high,FAOSTAT area code 145; observed 1991-2024 in pins faostat-cbs-new;faostat-fbs-new;faostat-production;faostat-trade-totals; iso-equal period match,18270,145,FSM,iso-equal,matched
Republic of Moldova,faostat,1992,2024,Moldova,MDA-1991-2025,high,FAOSTAT area code 146; observed 1992-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,112673,146,MDA,iso-equal,matched
Namibia,faostat,1961,1989,Namibia (1920-1990),NAM-1920-1990,high,FAOSTAT area code 147; observed 1961-1989 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,174367,147,NAM,iso-equal,matched
Namibia,faostat,1990,2024,Namibia (1990-2025),NAM-1990-2025,high,FAOSTAT area code 147; observed 1990-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,174367,147,NAM,iso-equal,matched
Nauru,faostat,1961,2024,Nauru,NRU-1888-2025,high,FAOSTAT area code 148; observed 1961-2024 in pins faostat-cbs-new;faostat-fbs-new;faostat-production;faostat-trade-totals; iso-equal period match,22811,148,NRU,iso-equal,matched
Nepal,faostat,1961,2024,Nepal,NPL-1816-2025,high,FAOSTAT area code 149; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,195064,149,NPL,iso-equal,matched
Netherlands (Kingdom of the),faostat,1961,2024,Netherlands,NLD-1830-2025,high,FAOSTAT area code 150; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,261178,150,NLD,iso-equal,matched
Netherlands Antilles (former),faostat,1961,2010,Netherlands Antilles,ANT-1961-2010,high,FAOSTAT area code 151; observed 1961-2010 in pins faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old; iso-equal period match,61300,151,ANT,iso-equal,matched
New Caledonia,faostat,1961,2024,New Caledonia,NCL-1800-2025,high,FAOSTAT area code 153; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,162570,153,NCL,iso-equal,matched
North Macedonia,faostat,1992,2024,North Macedonia,MKD-1991-2025,high,FAOSTAT area code 154; observed 1992-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,117454,154,MKD,iso-equal,matched
Vanuatu,faostat,1961,2024,Vanuatu,VUT-1800-2025,high,FAOSTAT area code 155; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,134789,155,VUT,iso-equal,matched
New Zealand,faostat,1961,2024,New Zealand,NZL-1840-2025,high,FAOSTAT area code 156; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,243438,156,NZL,iso-equal,matched
Nicaragua,faostat,1961,2023,Nicaragua,NIC-1800-2025,high,FAOSTAT area code 157; observed 1961-2023 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,209905,157,NIC,iso-equal,matched
Niger,faostat,1961,2024,Niger,NER-1960-2025,high,FAOSTAT area code 158; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,182100,158,NER,iso-equal,matched
Nigeria,faostat,1961,2024,Nigeria,NGA-1961-2025,high,FAOSTAT area code 159; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,194182,159,NGA,iso-equal,matched
Niue,faostat,1961,2024,Niue,NIU-1800-2025,high,FAOSTAT area code 160; observed 1961-2024 in pins faostat-production;faostat-trade-totals; iso-equal period match,22055,160,NIU,iso-equal,matched
Norfolk Island,faostat,1914,2024,Norfolk Island (Australian Territory),NFK-1914-2025,high,FAOSTAT area code 161; no data in scanned pins; registry map to NFK-1914-2025 (1914-2025),0,161,NFK,registry,matched
