polity_code,polity_name,source,stated_area_km2,statements,editions,source_labels,polygon_area_km2,ratio_polygon_over_stated,basis_flag,note
NGA-1914-1960,Nigeria (1914-1960),iia,876745,5,1909;1929;1932;1933;1938,NIGERIA;NIGERIE;NIGÉRIA;nigéria,862491,0.984,agrees,
NIC-1800-2025,Nicaragua,fao,148000,1,1952,Nicaragua,128077,0.865,agrees,
NIC-1800-2025,Nicaragua,iia,118453,9,1909;1925;1929;1932;1933;1938,NICARAGUA;nicaragua,128077,1.081,agrees,
NLD-1830-2025,Netherlands,fao,35050,1,1952,Netherlands,38295,1.093,agrees,
NLD-1830-2025,Netherlands,iia,34186,8,1909;1925;1929;1932;1933;1938,PAYS-BAS;pays-bas,38295,1.120,agrees,
NOR-1800-2025,Norway,fao,324220,1,1952,Norway,320132,0.987,agrees,
NOR-1800-2025,Norway,iia,323658,8,1909;1925;1929;1932;1933;1938,NORVEGE;NORVÈGE;norvège,320132,0.989,agrees,
NPL-1816-2025,Nepal,fao,140000,1,1952,Nepal,148391,1.060,agrees,
NPL-1816-2025,Nepal,iia,140000,9,1909;1925;1929;1932;1933;1938,NEPAL;NÉPAL;NÉPÂL;népal,148391,1.060,agrees,
NRH-1911-1953,Northern Rhodesia (1911-1953),fao,746240,1,1952,Northern Rhodesia,752073,1.008,agrees,
NRH-1911-1953,Northern Rhodesia (1911-1953),iia,745777,3,1932;1933;1938,RHODESIE SEPTENTRIONALE;RHODÉSIE SEPTENTRIONALE,752073,1.008,agrees,
NRU-1888-2025,Nauru,fao,20,1,1952,Nauru,22,1.101,agrees,
NZL-1840-2025,New Zealand,fao,268670,1,1952,New Zealand,268690,1.000,agrees,
NZL-1840-2025,New Zealand,iia,268998,9,1909;1925;1929;1932;1933;1938,NOCVELLE-ZÉLANDE british;NOUVELLE-ZELANDE;NOUVELLE-ZÉLANDE;nouvelle-zélande,268690,0.999,agrees,
PAK-1947-1949,Pakistan (1947-1949),fao,976360,1,1952,Pakistan,932577,0.955,agrees,
PAL-1920-1948,Palestine (1920-1948),iia,24500,2,1925;1929,PALESTINE;palestine,27009,1.102,agrees,
PAN-1903-1979,"Panama (1903-1979, before Canal Zone return)",fao,74010,1,1952,Panama,74050,1.001,agrees,
PAN-1903-1979,"Panama (1903-1979, before Canal Zone return)",iia,75297,9,1909;1925;1929;1932;1933;1938,PANAMA;panama,74050,0.983,agrees,
PER-1909-1922,Peru (1909-1922),iia,1382832,4,1909;1925;1929,PÉROU;pérou,1246141,0.901,agrees,
PER-1922-1942,Peru (1922-1942),iia,1378360,5,1925;1929;1932;1933;1938,PÉROU;pérou,1204360,0.874,agrees,
PER-1942-2025,Peru,fao,1249050,1,1952,Peru,1290852,1.033,agrees,
PHL-1800-2025,Philippines,fao,299680,1,1952,Philippines,291825,0.974,agrees,
PHL-1800-2025,Philippines,iia,296298,9,1909;1925;1929;1932;1933;1938,PHILIPPINES;philippines,291825,0.985,agrees,
POL-1921-1945,Poland (1921-1945),fao,311730,1,1952,Poland,388370,1.246,agrees,
POL-1921-1945,Poland (1921-1945),iia,388512,6,1909;1925;1929;1932;1933;1938,POLOGNE;pologne,388370,1.000,agrees,
PRI-1800-2025,Puerto Rico,fao,8870,1,1952,Puerto Rico,8972,1.012,agrees,
PRI-1800-2025,Puerto Rico,iia,8897,9,1909;1925;1929;1932;1933;1938,PORTO-RICO;porto-rico,8972,1.008,agrees,
PRT-1800-2025,Portugal,fao,89060,1,1952,Portugal,91805,1.031,agrees,
PRT-1800-2025,Portugal,iia,92157,9,1909;1925;1929;1932;1933;1938,PORTUGAL;portugal,91805,0.996,agrees,
PRY-1870-1932,Paraguay (post-Triple Alliance),iia,445000,6,1909;1925;1929,PARAGUAY;paraguay,293547,0.660,review,"IIA states 450,000 km2 for 1913 against our 293,549 (0.65x). Modern Paraguay is 406,752, so OUR POLYGON IS 28% BELOW even the present-day country, which makes this ours rather than the source's. Pre-Chaco-War Paraguay also claimed territory it did not hold, so part of the gap is the claimed-versus-controlled question of issue 159. Tracked with the long-single-vintage rows in issue 22, which names Paraguay."
PRY-1932-1938,Paraguay (Chaco War period),iia,457872,3,1932;1933;1938,PARAGUAY,293547,0.641,review,"same polygon as PRY-1870-1932 (293,549) against a stated 457,872 for 1932/1933/1937. The Chaco War is fought across this row's span, so the stated figure is a claim under active dispute -- but the polygon does not move at all, which is the issue 22 problem."
PRY-1938-2025,Paraguay,fao,406760,1,1952,Paraguay,398816,0.980,agrees,
PTIND-1816-1961,Portuguese India (Estado da India Portuguesa),fao,3980,1,1952,Portuguese India,3779,0.949,agrees,
PTIND-1816-1961,Portuguese India (Estado da India Portuguesa),iia,4242,9,1909;1925;1929;1932;1933;1938,INDE PORTUGAISE;inde portugaise,3779,0.891,agrees,
QAT-1800-2025,Qatar,fao,22000,1,1952,Qatar,11062,0.503,review,"GENUINE HISTORICAL UNCERTAINTY, same shape. FAO states 22,000 km2 against our 11,062 and a modern 11,586. Pre-settlement figures for Qatar commonly included disputed zones."
REU-1816-1946,Réunion (French Colony),iia,2400,7,1909;1929;1932;1933;1938,REUNION;RÉUNION;réunion,2623,1.093,agrees,
REU-1946-2025,Réunion (French Overseas Department),fao,2500,1,1952,Réunion,2623,1.049,agrees,
ROU-1859-1913,Romania (to 1913),iia,130177,1,1909,ROUMANIE,128451,0.987,agrees,
ROU-1913-1918,Romania (1913-1918),iia,137903,2,1925;1929,ROUMANIE;roumanie,136202,0.988,agrees,
ROU-1920-1940,Romania (1920-1940),iia,294930,6,1909;1925;1929;1932;1933;1938,ROUMANIE;roumanie,296126,1.004,agrees,
ROU-1947-2025,Romania (1947-2025),fao,237380,1,1952,Romania,237353,1.000,agrees,
RWB-1922-1962,Ruanda-Urundi (1922-1962),fao,54170,1,1952,Ruanda-Urundi,52351,0.966,agrees,
RWB-1922-1962,Ruanda-Urundi (1922-1962),iia,54000,5,1925;1929;1932;1933;1938,RUANDA-URUNDI BELGE;RUANDA-URUNDI belge;ruanda-urundi,52351,0.969,agrees,
RYU-1945-1972,Ryukyu Islands (US Administration),fao,3410,1,1952,Ryukyu Islands,2337,0.685,agrees,"SCOPE MISMATCH, explained. FAO states 3,410 km2 against our 2,270. The US-administered Ryukyus included Amami Oshima (~1,200 km2) until it returned to Japan in 1953, and 2,270 + 1,200 = 3,470, within 2% of the stated figure. Our polygon is Okinawa Prefecture, so the gap is Amami and the divergence is real rather than wrong."
SAA-1947-1957,Saar Protectorate,fao,2570,1,1952,Saar,2565,0.998,agrees,
SAU-1924-2025,Saudi Arabia,fao,1546000,1,1952,Saudi Arabia,1954367,1.264,agrees,"GENUINE HISTORICAL UNCERTAINTY. FAO states 1,546,000 km2 against our 1,954,454 and a modern 2,149,690. Saudi Arabia's southern and eastern desert boundaries were not settled until the 1990s, so contemporary figures varied by hundreds of thousands of km2. Neither side is wrong; the territory was not agreed."
SLE-1889-1961,Sierra Leone (1889-1961),fao,72330,1,1952,Sierra Leone,72503,1.002,agrees,
SLE-1889-1961,Sierra Leone (1889-1961),iia,70580,7,1909;1929;1932;1933;1938,SIERRA LEONE;SIERRA LEONE colonie et protectorade;SIERRA-LEONE;sierra leone,72503,1.027,agrees,
SLV-1821-2025,El Salvador,fao,34130,1,1952,EI Salvador,20558,0.602,review,"EXTRACTION DAMAGE, visible in the label itself: the row is `EI Salvador`, an OCR misread of `El`. The stated 34,130 km2 is 62% above El Salvador's 21,041, so the number is as suspect as the name. Belongs to the digitisation review, not to this repo."
SLV-1821-2025,El Salvador,iia,34126,9,1909;1925;1929;1932;1933;1938,"""SAN SALVADOR;SAN SALVADOR;san salvador",20558,0.602,review,
SMO-1912-1956,Spanish Morocco (1912-1956),iia,21800,8,1909;1925;1929;1932;1933;1938,MAROC ESPAGNOL;maroc espagnol,52792,2.422,review,"SCOPE, and OUR POLYGON IS ARGUABLY THE MORE COMPLETE. 52,792 km2 in TWO parts, bounds 27.67-35.92N: the northern zone (Tetouan and Nador inside) plus the Tarfaya strip in the far southwest. Spanish Morocco did include that Southern Protectorate, so the union is right. IIA's 21,800 is the northern zone alone, matching the ~20,948 km2 usually quoted for it. Anyone using Spanish Morocco as a denominator needs to know which of the two the numerator came from."
SMR-1800-2025,San Marino,fao,100,1,1952,San Marino,61,0.612,review,"ROUNDING AT LOW MAGNITUDE. FAO's smallest unit is 1,000 hectares = 10 km2, so San Marino's 61 km2 can only be recorded as 6 or 10 -- it is recorded as 10, giving 100. Our 66 is right. Anything under a few hundred km2 cannot be checked at this resolution."
STP-1800-2025,Sao Tome and Principe,fao,960,1,1952,São Tomé and Principe,1012,1.055,agrees,
SUD-1934-1956,Sudan (1934-1956),fao,2505830,1,1952,Anglo-Egyptian Sudan,2486812,0.992,agrees,
SUD-1934-1956,Sudan (1934-1956),iia,2505779,1,1938,SOUDAN ANGLO-ÉGYPTIEN,2486812,0.992,agrees,
SWE-1905-2025,Sweden,fao,449200,1,1952,Sweden,445909,0.993,agrees,
SWE-1905-2025,Sweden,iia,448460,9,1909;1925;1929;1932;1933;1938,SUEDE;SUÈDE;suède,445909,0.994,agrees,
SYC-1903-2025,Seychelles,fao,400,1,1952,Seychelles,488,1.221,agrees,
SYC-1903-2025,Seychelles,iia,404,6,1909;1929;1932;1938,SEYCHELLES;seychelles,488,1.207,agrees,
SYR-1946-1967,Syrian Arab Republic (1946-1967),fao,182680,1,1952,Syria,188105,1.030,agrees,
TAN-1922-1964,Tanzania (1922-1964),fao,939360,1,1952,Tanganyika,938880,0.999,agrees,
TAN-1922-1964,Tanzania (1922-1964),iia,959210,4,1929;1932;1933;1938,TANGANVIKA (terr sous;TANGANVIKA br;tanganyika,938880,0.979,agrees,
THA-1909-2025,Thailand,fao,513520,1,1952,Thailand,512149,0.997,agrees,
THA-1909-2025,Thailand,iia,518159,9,1909;1925;1929;1932;1933;1938,SIAM;siam,512149,0.988,agrees,
TON-1800-2025,Tonga,fao,690,1,1952,Tonga,757,1.097,agrees,
TTO-1800-2025,Trinidad and Tobago,iia,5118,9,1909;1925;1929;1932;1933;1938,TRINITE ET TABAGO;TRINITÉ ET TOBAGO;trinité et tobago,4953,0.968,agrees,
TUN-1881-2025,Tunisia,fao,155830,1,1952,Tunisia,155471,0.998,agrees,
TUN-1881-2025,Tunisia,iia,125130,9,1909;1925;1929;1932;1933;1938,TUNISIE;TUNISIE french;tunisie,155471,1.242,agrees,
TUR-1920-2025,Türkiye (1920-2025),fao,776980,1,1952,Turkey,780180,1.004,agrees,
UGA-1910-1926,Uganda (1910-1926),iia,285700,5,1909;1925;1929,OUGANDA;OUGANDA british;ouganda,282481,0.989,agrees,
UGA-1926-1962,Uganda (1926-1962),fao,243410,1,1952,Uganda,242015,0.994,agrees,
UGA-1926-1962,Uganda (1926-1962),iia,243693,4,1929;1932;1933;1938,OUGANDA;ouganda,242015,0.993,agrees,
URY-1828-2025,Uruguay,fao,186930,1,1952,Uruguay,177866,0.952,agrees,
URY-1828-2025,Uruguay,iia,186926,9,1909;1925;1929;1932;1933;1938,URUGUAY;uruguay,177866,0.952,agrees,
USA-1867-1959,United States (1867-1959),fao,7827830,1,1952,United States,8906417,1.138,agrees,
USA-1867-1959,United States (1867-1959),iia,7839432,9,1909;1925;1929;1932;1933;1938,ETATS-UNIS;etats-unis,8906417,1.136,agrees,
VEN-1821-2025,Venezuela,fao,912050,1,1952,Venezuela,910634,0.998,agrees,
VEN-1821-2025,Venezuela,iia,1020400,9,1909;1925;1929;1932;1933;1938,VENEZUELA;VENÉZUÉLA;VÉNÉZUÉLA;vénézuéla,910634,0.892,agrees,
VNM-1887-1954,Vietnam (French Indochina),fao,225000,1,1952,Indochina Viet Nam,324094,1.440,agrees,"OUR POLYGON IS CORROBORATED BY THE OTHER SOURCE, so FAO is the narrow one here. FAO states 225,000 km2 for `Indochina Viet Nam` in 1951 against our 324,094. But IIA lists the three constituent protectorates separately -- Tonkin 115,700 + Annam 147,600 + Cochinchine 64,700 = 328,000 -- which is within 1.2% of our polygon. 1951 sits in the middle of the First Indochina War, with the State of Vietnam administering part of the territory and the Viet Minh the rest, so a survey covering 225,000 km2 is plausible as the area actually enumerated. Cross-checking two sources is what makes this readable as a coverage difference rather than a polygon error."
WSM-1900-2025,Samoa,iia,2753,2,1909;1929,SAMOA;samoa,2835,1.030,agrees,
ZAF-1910-2025,South Africa (Union and Republic),fao,1200000,1,1952,U of S Africa,1220223,1.017,agrees,
ZAF-1910-2025,South Africa (Union and Republic),iia,1223356,9,1909;1925;1929;1932;1933;1938,UNION DE L'AFRIQUE DU SUD;UNION DE L'AFRIQUE DU SUD british;UNION DEL'AFRIQUE DU SUD;UNION DELAFRIQUE DU SUD;UNION SUD-AFRICAINE;union del'afrique du sud,1220223,0.997,agrees,
ZWE-1900-1953,Zimbabwe (1900-1953),fao,389410,1,1952,Southern Rhodesia,389716,1.001,agrees,
ZWE-1900-1953,Zimbabwe (1900-1953),iia,389384,3,1932;1933;1938,RHODESIE MÉRIDIONALE;RHODÉSIE MÉRIDIONALE,389716,1.001,agrees,
