source,source_label,item,year_start,year_end,correct_label,polity_code,observed_rows,issue,evidence
iia,cameroon,"groundnuts, with shell",1920,1945,British and French Cameroons (combined reporting unit),BFCM-1920-1960,16,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT, checked 2026-09-24. The raw extract carries three Cameroon headings (`french cameroon`, `british cameroon`, `british-french cameroon`) and this item's layer-B iia `cameroon` cells are the COMBINED one: sesame 40/40, groundnuts 16/16, tobacco production 4/4, cacao dated area 15/15; cotton lint and seed carry round values but the raw extract has no French-only or British-only cotton series at all. Cacao production control: fao1952 1934-38 French 24.8 + British 4.6 = 29.4 thousand t against iia 30.6 (4%), French alone 23% lower. Coffee and rubber match `french cameroon` and stay on FCM-1920-1960."
iia,cameroon,sesame seed,1920,1945,British and French Cameroons (combined reporting unit),BFCM-1920-1960,40,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT, checked 2026-09-24. The raw extract carries three Cameroon headings (`french cameroon`, `british cameroon`, `british-french cameroon`) and this item's layer-B iia `cameroon` cells are the COMBINED one: sesame 40/40, groundnuts 16/16, tobacco production 4/4, cacao dated area 15/15; cotton lint and seed carry round values but the raw extract has no French-only or British-only cotton series at all. Cacao production control: fao1952 1934-38 French 24.8 + British 4.6 = 29.4 thousand t against iia 30.6 (4%), French alone 23% lower. Coffee and rubber match `french cameroon` and stay on FCM-1920-1960."
iia,cameroon,"tobacco, unmanufactured",1920,1945,British and French Cameroons (combined reporting unit),BFCM-1920-1960,9,687,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT, checked 2026-09-24. The raw extract carries three Cameroon headings (`french cameroon`, `british cameroon`, `british-french cameroon`) and this item's layer-B iia `cameroon` cells are the COMBINED one: sesame 40/40, groundnuts 16/16, tobacco production 4/4, cacao dated area 15/15; cotton lint and seed carry round values but the raw extract has no French-only or British-only cotton series at all. Cacao production control: fao1952 1934-38 French 24.8 + British 4.6 = 29.4 thousand t against iia 30.6 (4%), French alone 23% lower. Coffee and rubber match `french cameroon` and stay on FCM-1920-1960."
mitchell,nigeria,"cacao, beans",1945,1959,Nigeria and British Cameroons (combined reporting unit),NGBC-1916-1960,15,688,FOOTNOTE. Mitchell C5 (output of cocoa beans) note 8: 'Including British Cameroon from 1945 to 1959.' British Cameroons was administered from Lagos as part of Nigeria; NGA-1914-1960's polygon excludes it (BCM-1916-1961 is its own polity). The label's cacao before 1945 has no such note and stays.
mitchell,nigeria,asses,1920,1950,Nigeria and British Cameroons (combined reporting unit),NGBC-1916-1960,23,688,"FOOTNOTE. Mitchell C11 (numbers of livestock) note 13: 'Statistics to 1950 include British Cameroons.' All six livestock items of the `nigeria` column (page_8_table_1) are covered to 1950. The 1950 cells of cattle/goats/sheep/pigs are the registered 13,000 broadcast (nga-1950-livestock-broadcast-13000) and move with the series."
mitchell,nigeria,cattle,1920,1950,Nigeria and British Cameroons (combined reporting unit),NGBC-1916-1960,22,688,"FOOTNOTE. Mitchell C11 (numbers of livestock) note 13: 'Statistics to 1950 include British Cameroons.' All six livestock items of the `nigeria` column (page_8_table_1) are covered to 1950. The 1950 cells of cattle/goats/sheep/pigs are the registered 13,000 broadcast (nga-1950-livestock-broadcast-13000) and move with the series."
mitchell,nigeria,goats,1920,1950,Nigeria and British Cameroons (combined reporting unit),NGBC-1916-1960,22,688,"FOOTNOTE. Mitchell C11 (numbers of livestock) note 13: 'Statistics to 1950 include British Cameroons.' All six livestock items of the `nigeria` column (page_8_table_1) are covered to 1950. The 1950 cells of cattle/goats/sheep/pigs are the registered 13,000 broadcast (nga-1950-livestock-broadcast-13000) and move with the series."
mitchell,nigeria,horses,1920,1950,Nigeria and British Cameroons (combined reporting unit),NGBC-1916-1960,24,688,"FOOTNOTE. Mitchell C11 (numbers of livestock) note 13: 'Statistics to 1950 include British Cameroons.' All six livestock items of the `nigeria` column (page_8_table_1) are covered to 1950. The 1950 cells of cattle/goats/sheep/pigs are the registered 13,000 broadcast (nga-1950-livestock-broadcast-13000) and move with the series."
mitchell,nigeria,sheep,1920,1950,Nigeria and British Cameroons (combined reporting unit),NGBC-1916-1960,22,688,"FOOTNOTE. Mitchell C11 (numbers of livestock) note 13: 'Statistics to 1950 include British Cameroons.' All six livestock items of the `nigeria` column (page_8_table_1) are covered to 1950. The 1950 cells of cattle/goats/sheep/pigs are the registered 13,000 broadcast (nga-1950-livestock-broadcast-13000) and move with the series."
mitchell,nigeria,swine / pigs,1920,1950,Nigeria and British Cameroons (combined reporting unit),NGBC-1916-1960,20,688,"FOOTNOTE. Mitchell C11 (numbers of livestock) note 13: 'Statistics to 1950 include British Cameroons.' All six livestock items of the `nigeria` column (page_8_table_1) are covered to 1950. The 1950 cells of cattle/goats/sheep/pigs are the registered 13,000 broadcast (nga-1950-livestock-broadcast-13000) and move with the series."
mitchell,syrian arab republic,"oil, olive, virgin",1925,1939,"Syria and Lebanon (French Mandate, combined reporting unit)",SYL-1920-1944,15,688,"FOOTNOTE. Mitchell's Syria column is footnoted as including Lebanon: C4 note 5 (olive oil, to 1939, 1st line) and C11 note 7 (to 1938 for sheep, 1939 for goats, 1st line). SYR-1922-1946's polygon is Syria alone. Layer B holds one value per year, so the footnote's boundary year is taken to be the first line. Wheat and barley output (C2 note 17, to 1940) are NOT here: their C1 area rows share source, label, item and year, so an item-scoped rule would move them too (issue 688)."
mitchell,syrian arab republic,sheep,1922,1938,"Syria and Lebanon (French Mandate, combined reporting unit)",SYL-1920-1944,17,688,"FOOTNOTE. Mitchell's Syria column is footnoted as including Lebanon: C4 note 5 (olive oil, to 1939, 1st line) and C11 note 7 (to 1938 for sheep, 1939 for goats, 1st line). SYR-1922-1946's polygon is Syria alone. Layer B holds one value per year, so the footnote's boundary year is taken to be the first line. Wheat and barley output (C2 note 17, to 1940) are NOT here: their C1 area rows share source, label, item and year, so an item-scoped rule would move them too (issue 688)."
mitchell,syrian arab republic,goats,1922,1939,"Syria and Lebanon (French Mandate, combined reporting unit)",SYL-1920-1944,18,688,"FOOTNOTE. Mitchell's Syria column is footnoted as including Lebanon: C4 note 5 (olive oil, to 1939, 1st line) and C11 note 7 (to 1938 for sheep, 1939 for goats, 1st line). SYR-1922-1946's polygon is Syria alone. Layer B holds one value per year, so the footnote's boundary year is taken to be the first line. Wheat and barley output (C2 note 17, to 1940) are NOT here: their C1 area rows share source, label, item and year, so an item-scoped rule would move them too (issue 688)."
iia,india,sesame seed,1934,1945,french india,FRIN-1816-1954,22,372,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT, CORROBORATED BY FAO1952. Every relabelled cell equals, to the digit, raw iia `french india` on the same product, variable and year, and raw `british india` has NO cell on any of those keys (British India's own figures for these volumes sit under the corrupted label `[error] inde`, data_errors `iia-error-inde-is-india`). The scale settles it: British India's sesame area was 2.0-2.5 million ha (this label's own 1922-1933 cells), its groundnut area 2-3 million ha and its cotton area 9-10 million ha, against 1,000 / 2,000-3,000 / 0 ha here. fao1952 prints `French India` separately for 1934-38 with the same numbers: sesame 1 thousand ha and 0.3 thousand t, groundnuts 3 thousand ha and 5 thousand t (iia 5,200 t). Re-measured 2026-09-25 on consolidated_layer_b.parquet against harmonized_data.xlsx (issue 372 lists `india` as british india | french india). The relabel also refutes data_errors `constant-runs-two-proven-placeholders`' India arm: the sesame 1,000 ha run is French India's real area, not a placeholder. Area 1,000 ha in 1934-1936 and 1939-1945 and the 1934-38 average; production 300 t (200 t in 1944-1945). Layer B carries no dated cell for 1937-1938. The label's 1933 cell (2,506,477 ha) is British India, so the rule starts at 1934. The 1928-1932 average (1,000 ha, 300 t) is also French India's but cannot be isolated by a year rule without taking British India's dated 1930-1932 cells; it is registered in data_errors `iia-india-french-india-period-cells`."
iia,india,"groundnuts, with shell",1934,1945,french india,FRIN-1816-1954,13,372,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT, CORROBORATED BY FAO1952. Every relabelled cell equals, to the digit, raw iia `french india` on the same product, variable and year, and raw `british india` has NO cell on any of those keys (British India's own figures for these volumes sit under the corrupted label `[error] inde`, data_errors `iia-error-inde-is-india`). The scale settles it: British India's sesame area was 2.0-2.5 million ha (this label's own 1922-1933 cells), its groundnut area 2-3 million ha and its cotton area 9-10 million ha, against 1,000 / 2,000-3,000 / 0 ha here. fao1952 prints `French India` separately for 1934-38 with the same numbers: sesame 1 thousand ha and 0.3 thousand t, groundnuts 3 thousand ha and 5 thousand t (iia 5,200 t). Re-measured 2026-09-25 on consolidated_layer_b.parquet against harmonized_data.xlsx (issue 372 lists `india` as british india | french india). The relabel also refutes data_errors `constant-runs-two-proven-placeholders`' India arm: the sesame 1,000 ha run is French India's real area, not a placeholder. Area 3,000 ha 1934-1936, 1939, 1943-1945 and 2,000 ha 1940-1942, and the 1934-38 average (3,000 ha); production 5,200 t (1934-38) and 5,500 t (1945). British India's groundnut area was 2-3 million ha (this label's 1930-1933 cells). The 1928-1932 average (8,000 ha, 6,600 t) is French India's too, and is registered in data_errors `iia-india-french-india-period-cells`."
iia,india,"eggs, hen, in shell",1934,1945,french india,FRIN-1816-1954,8,372,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT, CORROBORATED BY FAO1952. Every relabelled cell equals, to the digit, raw iia `french india` on the same product, variable and year, and raw `british india` has NO cell on any of those keys (British India's own figures for these volumes sit under the corrupted label `[error] inde`, data_errors `iia-error-inde-is-india`). The scale settles it: British India's sesame area was 2.0-2.5 million ha (this label's own 1922-1933 cells), its groundnut area 2-3 million ha and its cotton area 9-10 million ha, against 1,000 / 2,000-3,000 / 0 ha here. fao1952 prints `French India` separately for 1934-38 with the same numbers: sesame 1 thousand ha and 0.3 thousand t, groundnuts 3 thousand ha and 5 thousand t (iia 5,200 t). Re-measured 2026-09-25 on consolidated_layer_b.parquet against harmonized_data.xlsx (issue 372 lists `india` as british india | french india). The relabel also refutes data_errors `constant-runs-two-proven-placeholders`' India arm: the sesame 1,000 ha run is French India's real area, not a placeholder. Every iia `india` egg cell in layer B: the 1934-38 average 70.07 t and 1939-1945 (64.68 to 80.85 t, 754.6 t in 1939). Tens of tonnes cannot be British India's egg output. The 1939 754.6 t is ten times its neighbours, and raw `french india` prints it the same way, so it is a source value and not a routing error."
iia,india,cotton lint,1934,1945,french india,FRIN-1816-1954,5,372,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT, CORROBORATED BY FAO1952. Every relabelled cell equals, to the digit, raw iia `french india` on the same product, variable and year, and raw `british india` has NO cell on any of those keys (British India's own figures for these volumes sit under the corrupted label `[error] inde`, data_errors `iia-error-inde-is-india`). The scale settles it: British India's sesame area was 2.0-2.5 million ha (this label's own 1922-1933 cells), its groundnut area 2-3 million ha and its cotton area 9-10 million ha, against 1,000 / 2,000-3,000 / 0 ha here. fao1952 prints `French India` separately for 1934-38 with the same numbers: sesame 1 thousand ha and 0.3 thousand t, groundnuts 3 thousand ha and 5 thousand t (iia 5,200 t). Re-measured 2026-09-25 on consolidated_layer_b.parquet against harmonized_data.xlsx (issue 372 lists `india` as british india | french india). The relabel also refutes data_errors `constant-runs-two-proven-placeholders`' India arm: the sesame 1,000 ha run is French India's real area, not a placeholder. The 1934-38 production average (100 t) and the dated 1934-1937 area cells, which read 0 ha as raw `french india` does. British India's cotton area is 9-10 million ha (this label's 1930-1933 cells). The 1928-1932 production average (100 t) is French India's as well; it is registered in data_errors `iia-india-french-india-period-cells`."
iia,india,cotton seed,1937,1945,french india,FRIN-1816-1954,3,372,"EXACT FINGERPRINT AGAINST THE RAW IIA EXTRACT, CORROBORATED BY FAO1952. Every relabelled cell equals, to the digit, raw iia `french india` on the same product, variable and year, and raw `british india` has NO cell on any of those keys (British India's own figures for these volumes sit under the corrupted label `[error] inde`, data_errors `iia-error-inde-is-india`). The scale settles it: British India's sesame area was 2.0-2.5 million ha (this label's own 1922-1933 cells), its groundnut area 2-3 million ha and its cotton area 9-10 million ha, against 1,000 / 2,000-3,000 / 0 ha here. fao1952 prints `French India` separately for 1934-38 with the same numbers: sesame 1 thousand ha and 0.3 thousand t, groundnuts 3 thousand ha and 5 thousand t (iia 5,200 t). Re-measured 2026-09-25 on consolidated_layer_b.parquet against harmonized_data.xlsx (issue 372 lists `india` as british india | french india). The relabel also refutes data_errors `constant-runs-two-proven-placeholders`' India arm: the sesame 1,000 ha run is French India's real area, not a placeholder. 1937 area (0 ha), 1939 production (200 t) and 1940 production (100 t), each equal to raw `french india`. The rule starts at 1937 and not 1934 because the label's dated 1934-1936 cotton-seed cells (5,000 ha 1934-1935; 1,700 / 2,000 / 800 t 1934-1936) match neither French India (200 / 200 / 100 t) nor British India (millions), so they are left in place and noted in data_errors `iia-india-french-india-period-cells`. The 1934-38 average (200 t) is French India's but a 1934 start would take those cells, so it is registered there too."
fao1952,USSR,oats,1934,1938,USSR present boundaries,F228-1945-1991,2,681,"PRESENT BOUNDARIES, THE SAME CLOSING IDENTITY AS RYE. fao1952's 1934-38 USSR oats averages are 19,970 thousand ha and 20,030 thousand t, against iia `russian federation`'s own 1934-38 average row (the USSR on the boundary of the time) 17,980 thousand ha and 17,884 thousand t: 1.111x and 1.120x. Adding what the 1939-45 annexations grew on their pre-war owners' own 1934-38 series (juan: Estonia+Latvia+Lithuania 824, the Finnish cession 46, Bessarabia/N. Bukovina net of S. Dobruja 77, Ruthenia 24, the Polish and German territories 994 thousand ha; 912/70/54/25/1,027 thousand t) gives a ratio of 1.001 (ha) and 1.003 (t), the test that moved rye (1.003/1.004). The #681 pass compared only iia's DATED rows, and iia has no dated USSR oats in 1934-1938, so oats was not measured then. Period rows (year null, 1934-1938) lie wholly inside the rule. Re-tested by check_fao1952_present_boundaries (7b) in 11_retest_conventions.py. Measured 2026-09-25 on consolidated_layer_b.parquet."
