original_name,source,common_name
Guam,gadm,Guam
Guam,m49,Guam
Guatemala,cshapes,Guatemala
Guatemala,faostat,Guatemala
Guatemala,federico_tena,Guatemala
Guatemala,m49,Guatemala
Guernsey,faostat,Guernsey
Guernsey,gadm,Guernsey
Guernsey,m49,Guernsey
Guinea,cshapes,Guinea
Guinea,faostat,Guinea
Guinea,m49,Guinea
Guinea,whep,Guinea
Guinea Bisau (Portuguese Guinea),federico_tena,Guinea-Bissau
Guinea-Bissau,cshapes,Guinea-Bissau
Guinea-Bissau,faostat,Guinea-Bissau
Guinea-Bissau,m49,Guinea-Bissau
Guyana,cshapes,Guyana
Guyana,faostat,Guyana
Guyana,m49,Guyana
Haiti,cshapes,Haiti
Haiti,faostat,Haiti
Haiti,federico_tena,Haiti
Haiti,m49,Haiti
Hanover,cshapes_europe,Hanover
Hanover,whep,Hanover
Hawaii (1898-1959),cshapes,Hawaii (1898-1959)
Heard Island and McDonald Islands,faostat,Heard Island and McDonald Islands
Heard Island and McDonald Islands,gadm,Heard Island and McDonald Islands
Heard Island and McDonald Islands,m49,Heard Island and McDonald Islands
Herat,federico_tena,Herat
Herat,gadm,Herat
Herzegovina (to 1908),cshapes,Herzegovina (to 1908)
Hesse,cshapes_europe,Hesse
Hesse,whep,Hesse
Hesse-Homburg,cshapes_europe,Hesse-Homburg
Hesse-Homburg,whep,Hesse-Homburg
High-income economies,faostat,High-income economies
Hohengeroldseck,cshapes_europe,Hohengeroldseck
Hohengeroldseck,whep,Hohengeroldseck
Hohenzollern-Hechingen,cshapes_europe,Hohenzollern-Hechingen
Hohenzollern-Hechingen,whep,Hohenzollern-Hechingen
Hohenzollern-Sigmaringen,cshapes_europe,Hohenzollern-Sigmaringen
Hohenzollern-Sigmaringen,whep,Hohenzollern-Sigmaringen
Holy See,faostat,Holy See
Holy See,gadm,Holy See
Holy See,m49,Holy See
Honduras,cshapes,Honduras
Honduras,faostat,Honduras
Honduras,federico_tena,Honduras
Honduras,m49,Honduras
Hong Kong,gadm,Hong Kong
Hong Kong,m49,Hong Kong
Hong-Kong,federico_tena,Hong Kong
Hungary,cshapes,Hungary
Hungary,faostat,Hungary
Hungary,m49,Hungary
Hungary (1918-1919),cshapes,Hungary (1918-1919)
Hungary (1919-1920),cshapes,Hungary (1919-1920)
Hungary (1920-1938),cshapes,Hungary (1920-1938)
Hungary (1938-1947),cshapes,Hungary (1938-1947)
Iceland,cshapes,Iceland
Iceland,faostat,Iceland
Iceland,federico_tena,Iceland
Iceland,m49,Iceland
India,cshapes,India
India,faostat,India
India,federico_tena,India (to 1947)
India,m49,India
India (1893-1914),cshapes,India (1893-1914)
India (1914-1937),cshapes,India (1914-1937)
India (1937-1947),cshapes,India (1937-1947)
India (1947-1949),cshapes,India (1947-1949)
India (to 1893),cshapes,India (to 1893)
India (to 1947),gadm,India (to 1947)
India (to 1947),whep,India (to 1947)
Indonesia,cshapes,Indonesia
Indonesia,faostat,Indonesia
Indonesia,m49,Indonesia
Indonesia (1889-1949),cshapes,Indonesia (1889-1949)
Indonesia (1945-1949),whep,Indonesia (1945-1949)
Indonesia (1949-1969),cshapes,Indonesia (1949-1969)
Indonesia (1969-1976),cshapes,Indonesia (1969-1976)
Indonesia (1976-2002),cshapes,Indonesia (1976-2002)
Indonesia (to 1889),cshapes,Indonesia (to 1889)
Inini (1930-1946),cshapes,Inini (1930-1946)
International Centres (FAO) (2.5.1.a),faostat,International Centres (FAO) (2.5.1.a)
Ionian islands,federico_tena,Ionian islands
Ionian islands,gadm,Ionian islands
Ionian islands,whep,Ionian islands
Iran (Islamic Republic of),faostat,Iran
Iran (Persia),cshapes,Iran
"Iran, Islamic Republic of",m49,Iran
Iraq,cshapes,Iraq
Iraq,faostat,Iraq
Iraq,federico_tena,Iraq
Iraq,m49,Iraq
Iraq,whep,Iraq
Ireland,cshapes,Ireland
Ireland,faostat,Ireland
Ireland,federico_tena,Ireland
Ireland,m49,Ireland
Isle of Man,faostat,Isle of Man
Isle of Man,gadm,Isle of Man
Isle of Man,m49,Isle of Man
Israel,cshapes,Israel
Israel,faostat,Israel
Israel,m49,Israel
Israel (1948-1967),cshapes,Israel (1948-1967)
Israel (1967-1979),cshapes,Israel (1967-1979)
Italian Libia Cyrenaica (Lybia),federico_tena,Italian Libia Cyrenaica (Lybia)
Italian Libia Cyrenaica (Lybia),gadm,Italian Libia Cyrenaica (Lybia)
Italian Somaliland,federico_tena,Italian Somaliland
Italian Somaliland,gadm,Italian Somaliland
Italian Somaliland (1889-1924),cshapes,Italian Somaliland (1889-1924)
Italian Somaliland (1924-1960),cshapes,Italian Somaliland (1924-1960)
Italy,faostat,Italy
Italy,federico_tena,Italy (to 1919)
Italy,m49,Italy
Italy/Sardinia,cshapes,Italy
Italy/Sardinia (to 1919),cshapes,Italy (to 1919)
Jamaica,cshapes,Jamaica
Jamaica,faostat,Jamaica
Jamaica,federico_tena,Jamaica
Jamaica,m49,Jamaica
Jammu and Kashmir (1947-1949),cshapes,Jammu and Kashmir (1947-1949)
Japan,cshapes,Japan
Japan,faostat,Japan
Japan,federico_tena,Japan
Japan,m49,Japan
Jersey,faostat,Jersey
Jersey,gadm,Jersey
Jersey,m49,Jersey
Johnston Island,faostat,Johnston Island
Johnston Island,m49,Johnston Island
Jordan,cshapes,Jordan
Jordan,faostat,Jordan
Jordan,federico_tena,Jordan
Jordan,m49,Jordan
Jordan (1920-1923),cshapes,Jordan (1920-1923)
Kamerun (1912-1919),cshapes,Cameroon (Kamerun) (1912-1919)
Kamerun (to 1912),cshapes,Cameroon (Kamerun) (to 1912)
"Kashmir (North, Azad) (1947-1949)",cshapes,Kashmir (North Azad) (1947-1949)
Kazakhstan,cshapes,Kazakhstan
Kazakhstan,faostat,Kazakhstan
Kazakhstan,m49,Kazakhstan
Kenya,cshapes,Kenya
Kenya,faostat,Kenya
Kenya,m49,Kenya
Kenya,whep,Kenya
Kenya (1888-1891),cshapes,Kenya (1888-1891)
Kenya (1891-1894),cshapes,Kenya (1891-1894)
Kenya (1894-1902),cshapes,Kenya (1894-1902)
Kenya (1902-1906),cshapes,Kenya (1902-1906)
Kenya (1907-1924),cshapes,Kenya (1907-1924)
Kenya (1924-1926),cshapes,Kenya (1924-1926)
Khiva,federico_tena,Khiva
Khiva,gadm,Khiva
Khiva (to 1920),cshapes,Khiva (to 1920)
Kiautchou,federico_tena,Kiautchou
Kiautchou,gadm,Kiautchou
Kingdom Two sicilies,federico_tena,Two Sicilies
Kingdom of Naples,cshapes_europe,Kingdom of Naples
Kingdom of Naples,whep,Kingdom of Naples
Kiribati,faostat,Kiribati
Kiribati,gadm,Kiribati
Kiribati,m49,Kiribati
Kokand,federico_tena,Kokand
Kokand,gadm,Kokand
Kokand,whep,Kokand
Korea,federico_tena,Korea (to 1910)
Korea (to 1910),gadm,Korea (to 1910)
Korea (to 1910),whep,Korea (to 1910)
Korea (to 1945),cshapes,Korea (old) (to 1945)
"Korea, Democratic People's Republic of",m49,North Korea
"Korea, People's Republic of",cshapes,North Korea
"Korea, Republic of",cshapes,South Korea
"Korea, Republic of",m49,South Korea
Kosovo,cshapes,Kosovo
Kuwait,cshapes,Kuwait
Kuwait,faostat,Kuwait
Kuwait,federico_tena,Kuwait
Kuwait,m49,Kuwait
Kwang-Chou-Wan,federico_tena,Kwang-Chou-Wan
Kwang-Chou-Wan,gadm,Kwang-Chou-Wan
Kwantung (Port Arthur),federico_tena,Kwantung (Port Arthur)
Kwantung (Port Arthur),gadm,Kwantung (Port Arthur)
Kyrgyz Republic,cshapes,Kyrgyzstan
Kyrgyzstan,faostat,Kyrgyzstan
Kyrgyzstan,m49,Kyrgyzstan
Lagos (to 1906),cshapes,Lagos (to 1906)
Land Locked Developing Countries (LLDCs),faostat,Land Locked Developing Countries (LLDCs)
Lao People's Democratic Republic,faostat,Laos
Lao People's Democratic Republic,m49,Laos
Laos,cshapes,Laos
Laos,whep,Laos
Latin America,faostat,Latin America
Latin America and the Caribbean,faostat,Latin America and the Caribbean
Latvia,cshapes,Latvia
Latvia,faostat,Latvia
Latvia,federico_tena,Latvia (1918-1940)
Latvia,m49,Latvia
Latvia (1918-1940),cshapes,Latvia (1918-1940)
Least Developed Countries (LDCs),faostat,Least Developed Countries (LDCs)
Lebanon,cshapes,Lebanon
Lebanon,faostat,Lebanon
Lebanon,m49,Lebanon
Lebanon,whep,Lebanon
"Leeward Islands (Antigua, Dominica, St.Christopher, Montserrat, Nevis, Virgin Island)",federico_tena,"Leeward Islands (Antigua, Dominica, St.Christopher, Montserrat, Nevis, Virgin Island)"
"Leeward Islands (Antigua, Dominica, St.Christopher, Montserrat, Nevis, Virgin Island)",gadm,"Leeward Islands (Antigua, Dominica, St.Christopher, Montserrat, Nevis, Virgin Island)"
Lesotho,cshapes,Lesotho
Lesotho,faostat,Lesotho
Lesotho,m49,Lesotho
Lesotho,whep,Lesotho
Liberia,cshapes,Liberia
Liberia,faostat,Liberia
Liberia,federico_tena,Liberia
Liberia,m49,Liberia
Libya,cshapes,Libya
Libya,faostat,Libya
Libya,m49,Libya
Libya,whep,Libya
Libya (1912-1919),cshapes,Libya (1912-1919)
Libya (1919-1925),cshapes,Libya (1919-1925)
Libya (1925-1934),cshapes,Libya (1925-1934)
Liechtenstein,cshapes_europe,Liechtenstein
Liechtenstein,faostat,Liechtenstein
Liechtenstein,m49,Liechtenstein
Lippe-Detmold,cshapes_europe,Lippe-Detmold
Lippe-Detmold,whep,Lippe-Detmold
Lithuania,cshapes,Lithuania
Lithuania,faostat,Lithuania
Lithuania,federico_tena,Lithuania (1918-1920)
Lithuania,m49,Lithuania
Lithuania (1918-1920),cshapes,Lithuania (1918-1920)
Lithuania (1920-1940),cshapes,Lithuania (1920-1940)
Low Income Food Deficit Countries (LIFDCs),faostat,Low Income Food Deficit Countries (LIFDCs)
Low-income economies,faostat,Low-income economies
Lower Quebec,federico_tena,Lower Quebec
Lower Quebec,gadm,Lower Quebec
Lower-middle-income economies,faostat,Lower-middle-income economies
Lucca,cshapes_europe,Lucca
Lucca,whep,Lucca
Luxembourg,cshapes,Luxembourg
Luxembourg,faostat,Luxembourg
Luxembourg,federico_tena,Luxembourg (old)
Luxembourg,m49,Luxembourg
Luxembourg (old),gadm,Luxembourg (old)
Macao,gadm,Macao
Macao,m49,Macao
Macedonia (FYROM/North Macedonia),cshapes,North Macedonia
Madagascar,faostat,Madagascar
Madagascar,federico_tena,Madagascar
Madagascar,m49,Madagascar
Madagascar (Malagasy),cshapes,Madagascar
Madagascar (Malagasy) (1912-1946),cshapes,Madagascar (1912-1946)
Madagascar (Malagasy) (to 1912),cshapes,Madagascar (to 1912)
Malawi,cshapes,Malawi
Malawi,faostat,Malawi
Malawi,m49,Malawi
Malawi,whep,Malawi
Malaysia,cshapes,Malaysia
Malaysia,faostat,Malaysia
Malaysia,m49,Malaysia
Malaysia (1946-1963),cshapes,Malaysia (1946-1963)
Malaysia (1957-1963),gadm,Malaysia (1957-1963)
Malaysia (1957-1963),whep,Malaysia (1957-1963)
Malaysia (1963-1965),cshapes,Malaysia (1963-1965)
Maldive,federico_tena,Maldives
Maldives,cshapes,Maldives
Maldives,faostat,Maldives
Maldives,m49,Maldives
Mali,cshapes,Mali
Mali,faostat,Mali
Mali,m49,Mali
Mali (1905-1919),cshapes,Mali (1905-1919)
Mali (1919-1932),cshapes,Mali (1919-1932)
Mali (1932-1944),cshapes,Mali (1932-1944)
Mali (1944-1947),cshapes,Mali (1944-1947)
Mali (1947-1959),cshapes,Mali (1947-1959)
Mali (1959-1960),cshapes,Mali (1959-1960)
Malta,cshapes,Malta
Malta,faostat,Malta
Malta,federico_tena,Malta
Malta,m49,Malta
Manchukuo,federico_tena,Manchukuo
Manchukuo,gadm,Manchukuo
Manchukuo,whep,Manchukuo
Mariana Island,federico_tena,Mariana Island
Mariana Island,gadm,Mariana Island
Marquesas Island,federico_tena,Marquesas Island
Marquesas Island,gadm,Marquesas Island
Marshall Island,federico_tena,Marshall Islands
Marshall Islands,faostat,Marshall Islands
Marshall Islands,gadm,Marshall Islands
Marshall Islands,m49,Marshall Islands
Martinique,cshapes,Martinique
Martinique,faostat,Martinique
Martinique,federico_tena,Martinique
Martinique,m49,Martinique
Massa,cshapes_europe,Massa
Massa,whep,Massa
Mauritania,cshapes,Mauritania
Mauritania,faostat,Mauritania
Mauritania,m49,Mauritania
Mauritania (1904-1912),cshapes,Mauritania (1904-1912)
Mauritania (1912-1944),cshapes,Mauritania (1912-1944)
Mauritania (1944-1975),cshapes,Mauritania (1944-1975)
Mauritania (1960-1975),gadm,Mauritania (1960-1975)
Mauritania (1960-1975),whep,Mauritania (1960-1975)
Mauritania (1975-1979),cshapes,Mauritania (1975-1979)
Mauritius,cshapes,Mauritius
Mauritius,faostat,Mauritius
Mauritius,federico_tena,Mauritius
Mauritius,m49,Mauritius
Mayotte,faostat,Mayotte
Mayotte,gadm,Mayotte
Mayotte,m49,Mayotte
Mayotte and Noissi-be,federico_tena,Mayotte and Noissi-be
Mayotte and Noissi-be,gadm,Mayotte and Noissi-be
Mecklenburg,cshapes_europe,Mecklenburg
Mecklenburg,whep,Mecklenburg
Melanesia,faostat,Melanesia
Mexico,cshapes,Mexico
Mexico,faostat,Mexico
Mexico,federico_tena,Mexico
Mexico,m49,Mexico
Micronesia,faostat,Micronesia (Oceania region)
Micronesia (Federated States of),faostat,Micronesia
"Micronesia, Federated States of",m49,Micronesia
Middle Africa,faostat,Middle Africa
Midway Island,faostat,Midway Islands
Midway Island,federico_tena,Midway Islands
Midway Islands,m49,Midway Islands
Moldova,cshapes,Moldova
Monaco,cshapes_europe,Monaco
Monaco,faostat,Monaco
Monaco,federico_tena,Monaco
Monaco,m49,Monaco
Mongolia,cshapes,Mongolia
Mongolia,faostat,Mongolia
Mongolia,federico_tena,Mongolia
Mongolia,m49,Mongolia
Montenegro,cshapes,Montenegro
Montenegro,faostat,Montenegro
Montenegro,federico_tena,Montenegro (to 1913)
Montenegro,m49,Montenegro
Montenegro (1913-1915),gadm,Montenegro (1913-1915)
Montenegro (1913-1915),whep,Montenegro (1913-1915)
Montenegro (1913-1918),cshapes,Montenegro (1913-1918)
Montenegro (to 1913),cshapes,Montenegro (to 1913)
Montenegro (to 1913),whep,Montenegro (to 1913)
Montserrat,faostat,Montserrat
Montserrat,gadm,Montserrat
Montserrat,m49,Montserrat
Morocco,cshapes,Morocco
Morocco,faostat,Morocco
Morocco,m49,Morocco
Morocco (1904-1956),cshapes,Morocco (1904-1956)
Morocco (1956-1958),cshapes,Morocco (1956-1958)
Morocco (1958-1975),cshapes,Morocco (1958-1975)
Morocco (1975-1979),cshapes,Morocco (1975-1979)
Morocco (French),federico_tena,Morocco (to 1958)
Morocco (to 1904),cshapes,Morocco (to 1904)
Morocco (to 1958),gadm,Morocco (to 1958)
Morocco (to 1958),whep,Morocco (to 1958)
Mozambique,cshapes,Mozambique
Mozambique,faostat,Mozambique
Mozambique,federico_tena,Mozambique
Mozambique,m49,Mozambique
Mozambique (to 1891),cshapes,Mozambique (to 1891)
Myanmar,faostat,Myanmar
Myanmar,m49,Myanmar
Myanmar (Burma),cshapes,Myanmar
Namibia,cshapes,Namibia
Namibia,faostat,Namibia
Namibia,m49,Namibia
Nassau,cshapes_europe,Nassau
Nassau,whep,Nassau
Natal (1895-1910),cshapes,Natal (1895-1910)
Natal (to 1895),cshapes,Natal (to 1895)
Nauru,faostat,Nauru
Nauru,federico_tena,Nauru
Nauru,gadm,Nauru
Nauru,m49,Nauru
Nepal,cshapes,Nepal
Nepal,faostat,Nepal
Nepal,federico_tena,Nepal
Nepal,m49,Nepal
Net Food Importing Developing Countries (NFIDCs),faostat,Net Food Importing Developing Countries (NFIDCs)
Netherlands,cshapes,Netherlands
Netherlands,federico_tena,Netherlands (old)
Netherlands (Kingdom of the),faostat,Netherlands
Netherlands (old),gadm,Netherlands (old)
Netherlands Antilles,gadm,Netherlands Antilles
Netherlands Antilles,m49,Netherlands Antilles
Netherlands Antilles (former),faostat,Netherlands Antilles
Netherlands Antilles (original),gadm,Netherlands Antilles (original)
Netherlands Antilles (original),m49,Netherlands Antilles (original)
"Netherlands, Kingdom of the",m49,Netherlands
Neutral Zone,m49,Neutral Zone
New Brunswick,federico_tena,New Brunswick
New Brunswick,gadm,New Brunswick
New Caledonia,faostat,New Caledonia
New Caledonia,federico_tena,New Caledonia
New Caledonia,m49,New Caledonia
New Caledonia and Dependencies,cshapes,New Caledonia
New Guinea,federico_tena,New Guinea
New Guinea,gadm,New Guinea
New Guinea (German New Guinea) (Kaiser Wilhelmsland) (1920-1949),cshapes,New Guinea (1920-1949)
New Guinea (German New Guinea) (Kaiser Wilhelmsland) (to 1920),cshapes,New Guinea (to 1920)
New Hebrides,federico_tena,New Hebrides
New Hebrides,gadm,New Hebrides
New South Wales (to 1900),cshapes,New South Wales (to 1900)
New Zealand,cshapes,New Zealand
New Zealand,faostat,New Zealand
New Zealand,m49,New Zealand
New Zealand,whep,New Zealand
Newfoundland,federico_tena,Newfoundland
Newfoundland,gadm,Newfoundland
Newfoundland (to 1948),cshapes,Newfoundland (to 1948)
Nicaragua,cshapes,Nicaragua
Nicaragua,faostat,Nicaragua
Nicaragua,federico_tena,Nicaragua
Nicaragua,m49,Nicaragua
Niger,cshapes,Niger
Niger,faostat,Niger
Niger,m49,Niger
Niger,whep,Niger
Niger (1905-1932),cshapes,Niger (1905-1932)
Niger (1932-1947),cshapes,Niger (1932-1947)
Nigeria,cshapes,Nigeria
Nigeria,faostat,Nigeria
Nigeria,federico_tena,Nigeria (old)
Nigeria,m49,Nigeria
Nigeria (1914-1961),cshapes,Nigeria (1914-1961)
Nigeria (1960-1961),gadm,Nigeria (1960-1961)
Nigeria (1960-1961),whep,Nigeria (1960-1961)
Nigeria (old),gadm,Nigeria (old)
Niue,faostat,Niue
Niue,gadm,Niue
Niue,m49,Niue
Niue,whep,Niue
Niue Island,federico_tena,Niue
Non-Annex I countries,faostat,Non-Annex I countries
Norfolk Island,faostat,Norfolk Island
Norfolk Island,federico_tena,Norfolk Island
Norfolk Island,gadm,Norfolk Island
Norfolk Island,m49,Norfolk Island
North Korea,whep,North Korea
North Macedonia,faostat,North Macedonia
North Macedonia,m49,North Macedonia
North Yemen,federico_tena,North Yemen
North and Central America,faostat,North and Central America
Northeastern Rhodesia (1900-1911),cshapes,Northeastern Rhodesia (1900-1911)
Northern Africa,faostat,Northern Africa
Northern Africa (excluding Sudan),faostat,Northern Africa (excluding Sudan)
Northern America,faostat,Northern America
Northern America and Europe,faostat,Northern America and Europe
Northern Europe,faostat,Northern Europe
Northern Mariana Islands,faostat,Northern Mariana Islands
Northern Mariana Islands,gadm,Northern Mariana Islands
Northern Mariana Islands,m49,Northern Mariana Islands
Northern Nigeria (1899-1904),cshapes,Northern Nigeria (1899-1904)
Northern Nigeria (1904-1913),cshapes,Northern Nigeria (1904-1913)
Northwestern Rhodesia (1900-1905),cshapes,Northwestern Rhodesia (1900-1905)
Northwestern Rhodesia (1905-1911),cshapes,Northwestern Rhodesia (1905-1911)
Norway,cshapes,Norway
Norway,faostat,Norway
Norway,federico_tena,Norway
Norway,m49,Norway
Nova Scotia  Cape Breton Isl.,federico_tena,Nova Scotia  Cape Breton Isl.
Nova Scotia  Cape Breton Isl.,gadm,Nova Scotia  Cape Breton Isl.
Nyasaland Protectorate (Malawi),federico_tena,Nyasaland Protectorate (Malawi)
Nyasaland Protectorate (Malawi),gadm,Nyasaland Protectorate (Malawi)
OECD,faostat,OECD
Oceania,faostat,Oceania
Oceania excluding Australia and New Zealand,faostat,Oceania excluding Australia and New Zealand
Oil Rivers Protectorate (to 1898),cshapes,Oil Rivers Protectorate (to 1898)
Oldenburg,cshapes_europe,Oldenburg
Oldenburg,whep,Oldenburg
Oman,cshapes,Oman
Oman,faostat,Oman
Oman,federico_tena,Oman
Oman,m49,Oman
Ontario,federico_tena,Ontario
Ontario,gadm,Ontario
Orange Free State,federico_tena,Orange Free State (to 1910)
Orange Free State (to 1910),cshapes,Orange Free State (to 1910)
Ottoman Empire,cshapes_europe,Ottoman Empire
Ottoman Empire,whep,Ottoman Empire
Ottoman Empire/Turkey,federico_tena,Türkiye (to 1912)
Pacific Islands (Trust Territory),m49,Pacific Islands Trust Territory
Pacific Islands Trust Territory,faostat,Pacific Islands Trust Territory
Pahang (1888-1896),cshapes,Pahang (1888-1896)
Pakistan,cshapes,Pakistan
Pakistan,faostat,Pakistan
Pakistan,m49,Pakistan
Pakistan (1947-1949),cshapes,Pakistan (1947-1949)
Pakistan (1949-1971),cshapes,Pakistan (1949-1971)
Palau,faostat,Palau
Palau,gadm,Palau
Palau,m49,Palau
Palestine,faostat,Palestine
Palestine,gadm,Palestine
Palestine (1920-1948),cshapes,Palestine (1920-1948)
"Palestine, State of",m49,Palestine
Palestine/Jordan,federico_tena,Palestine/Jordan
Palestine/Jordan,gadm,Palestine/Jordan
Palmyra Island,federico_tena,Palmyra Island
Panama,cshapes,Panama
Panama,faostat,Panama
Panama,federico_tena,Panama
Panama,m49,Panama
Panama (before Canal Zone),gadm,Panama (before Canal Zone)
Panama (before Canal Zone),m49,Panama (before Canal Zone)
Papal States,cshapes_europe,Papal States
Papal States,federico_tena,Papal States
Papua (to 1949),cshapes,Papua (to 1949)
Papua New Guinea,cshapes,Papua New Guinea
Papua New Guinea,faostat,Papua New Guinea
Papua New Guinea,m49,Papua New Guinea
Papua New Guinea,whep,Papua New Guinea
Paraguay,cshapes,Paraguay
Paraguay,faostat,Paraguay
Paraguay,federico_tena,Paraguay (to 1938)
Paraguay,m49,Paraguay
Paraguay (to 1938),cshapes,Paraguay (to 1938)
Perak (to 1896),cshapes,Perak (to 1896)
Persia (Iran),federico_tena,Iran
Peru,cshapes,Peru
Peru,faostat,Peru
Peru,federico_tena,Peru (to 1909)
Peru,m49,Peru
Peru (1909-1922),cshapes,Peru (1909-1922)
Peru (1922-1942),cshapes,Peru (1922-1942)
Peru (to 1909),cshapes,Peru (to 1909)
Philippines,cshapes,Philippines
Philippines,faostat,Philippines
Philippines,federico_tena,Philippines
Philippines,m49,Philippines
Piedmont,cshapes_europe,Piedmont
Piedmont,whep,Piedmont
Pitcairn,faostat,Pitcairn
Pitcairn,gadm,Pitcairn
Pitcairn,m49,Pitcairn
Pitcairn Island,federico_tena,Pitcairn
Poland,cshapes,Poland
Poland,faostat,Poland
Poland,federico_tena,Poland (1918-1919)
Poland,m49,Poland
Poland (1918-1919),cshapes,Poland (1918-1919)
Poland (1919-1920),cshapes,Poland (1919-1920)
Poland (1920-1921),cshapes,Poland (1920-1921)
Poland (1921-1945),cshapes,Poland (1921-1945)
Polynesia,faostat,Polynesia
Portugal,cshapes,Portugal
Portugal,faostat,Portugal
Portugal,federico_tena,Portugal
Portugal,m49,Portugal
Portuguese India,federico_tena,Portuguese India
Portuguese India,gadm,Portuguese India
Prince Edward Island,federico_tena,Prince Edward Island
Prince Edward Island,gadm,Prince Edward Island
Puerto Rico,cshapes,Puerto Rico
Puerto Rico,faostat,Puerto Rico
Puerto Rico,federico_tena,Puerto Rico
Puerto Rico,m49,Puerto Rico
Qatar,cshapes,Qatar
Qatar,faostat,Qatar
Qatar,m49,Qatar
Quatar,federico_tena,Qatar
Queensland,federico_tena,Queensland
Queensland,gadm,Queensland
Queensland (to 1900),cshapes,Queensland (to 1900)
Ras al Khaimah,federico_tena,Ras al Khaimah
Ras al Khaimah,gadm,Ras al Khaimah
Regional Centres (FAO) (2.5.1.a),faostat,Regional Centres (FAO) (2.5.1.a)
Republic of Korea,faostat,South Korea
Republic of Moldova,faostat,Moldova
Republic of Moldova,m49,Moldova
Reunion,cshapes,Réunion
Reunion,federico_tena,Réunion
Reuss,cshapes_europe,Reuss
Reuss,whep,Reuss
Rhodesia,federico_tena,Zimbabwe
Romania,faostat,Romania
Romania,federico_tena,Romania (to 1913)
Romania,m49,Romania
Rumania,cshapes,Romania
Rumania (1913-1918),cshapes,Romania (1913-1918)
Rumania (1918-1919),cshapes,Romania (1918-1919)
Rumania (1919-1920),cshapes,Romania (1919-1920)
Rumania (1920-1940),cshapes,Romania (1920-1940)
Rumania (to 1913),cshapes,Romania (to 1913)
Russia,whep,Russia
Russia (Soviet Union),cshapes,Russia
Russia (Soviet Union) (1905-1914),cshapes,USSR (1905-1914)
Russia (Soviet Union) (1914-1917),cshapes,USSR (1914-1917)
Russia (Soviet Union) (1917-1918),cshapes,USSR (1917-1918)
Russia (Soviet Union) (1918-1920),cshapes,USSR (1918-1920)
Russia (Soviet Union) (1920-1921),cshapes,USSR (1920-1921)
Russia (Soviet Union) (1921-1940),cshapes,USSR (1921-1940)
Russia (Soviet Union) (1940-1945),cshapes,USSR (1940-1945)
Russia (Soviet Union) (1945-1991),cshapes,USSR (1945-1991)
Russia (Soviet Union) (1991-2014),cshapes,Russia (1991-2014)
Russia (Soviet Union) (to 1905),cshapes,USSR (to 1905)
Russia/USSR,federico_tena,USSR (to 1905)
Russian Federation,faostat,Russia
Russian Federation,m49,Russia
Rwanda,cshapes,Rwanda
Rwanda,faostat,Rwanda
Rwanda,m49,Rwanda
Rwanda and Burundi,federico_tena,Rwanda and Burundi
Rwanda and Burundi,gadm,Rwanda and Burundi
Rwanda-Urundi (1920-1962),cshapes,Rwanda and Burundi (1920-1962)
Ryukyu Islands,gadm,Ryukyu Islands
Ryukyu Islands,m49,Ryukyu Islands
Réunion,faostat,Réunion
Réunion,m49,Réunion
Sabah (British Borneo),federico_tena,Sabah (British Borneo)
Sabah (British Borneo),gadm,Sabah (British Borneo)
Sabah (North Borneo) (1888-1963),cshapes,Sabah (British Borneo) (1888-1963)
Saint Barthélemy,faostat,Saint Barthélemy
Saint Barthélemy,gadm,Saint Barthélemy
Saint Barthélemy,m49,Saint Barthélemy
"Saint Helena, Ascension and Tristan da Cunha",gadm,"Saint Helena, Ascension and Tristan da Cunha"
"Saint Helena, Ascension and Tristan da Cunha",m49,"Saint Helena, Ascension and Tristan da Cunha"
Saint Kitts and Nevis,faostat,Saint Kitts and Nevis
Saint Kitts and Nevis,gadm,Saint Kitts and Nevis
Saint Kitts and Nevis,m49,Saint Kitts and Nevis
Saint Kitts-Nevis-Anguilla,gadm,Saint Kitts-Nevis-Anguilla
Saint Kitts-Nevis-Anguilla,m49,Saint Kitts-Nevis-Anguilla
Saint Lucia,faostat,Saint Lucia
Saint Lucia,gadm,Saint Lucia
Saint Lucia,m49,Saint Lucia
Saint Martin (French part),faostat,Saint Martin (French part)
Saint Martin (French part),gadm,Saint Martin (French part)
Saint Martin (French part),m49,Saint Martin (French part)
Saint Pierre and Miquelon,faostat,Saint Pierre and Miquelon
Saint Pierre and Miquelon,gadm,Saint Pierre and Miquelon
Saint Pierre and Miquelon,m49,Saint Pierre and Miquelon
Saint Vincent and the Grenadines,faostat,Saint Vincent and the Grenadines
Saint Vincent and the Grenadines,gadm,Saint Vincent and the Grenadines
Saint Vincent and the Grenadines,m49,Saint Vincent and the Grenadines
Samoa,faostat,Samoa
Samoa,gadm,Samoa
Samoa,m49,Samoa
San Marino,cshapes_europe,San Marino
San Marino,faostat,San Marino
San Marino,m49,San Marino
Sao Tome and Principe,faostat,Sao Tome and Principe
Sao Tome and Principe,federico_tena,Sao Tome and Principe
Sao Tome and Principe,gadm,Sao Tome and Principe
Sao Tome and Principe,m49,Sao Tome and Principe
Sarawak,federico_tena,Sarawak
Sarawak,gadm,Sarawak
Sarawak (1888-1963),cshapes,Sarawak (1888-1963)
Sardinia,federico_tena,Sardinia
Sardinia,gadm,Sardinia
Sark,faostat,Sark
Sark,m49,Sark
Saudi Arabia,cshapes,Saudi Arabia
Saudi Arabia,faostat,Saudi Arabia
