polity_name,polity_code,prefix,start_year,end_year,duration_years,verification_status,notes
Seychelles,SYC-1903-2025,SYC,1903,2025,122,VERIFIED,
Thailand (1904-1907),THA-1904-1907,THA,1904,1907,3,VERIFIED,
USSR (1905-1914),F228-1905-1914,F228,1905,1914,9,REGION,
New Hebrides,NHB-1906-2025,NHB,1906,2025,119,VERIFIED,
Ethiopia (1907-1952),ETH-1907-1952,ETH,1907,1952,45,VERIFIED,
New Zealand,NZL-1907-2025,NZL,1907,2025,118,VERIFIED,
Thailand (1907-1909),THA-1907-1909,THA,1907,1909,2,VERIFIED,
Austria-Hungary (1908-1918),AUH-1908-1918,AUH,1908,1918,10,VERIFIED,
Italian Somaliland,ITS-1908-2025,ITS,1908,2025,117,VERIFIED,
Bolivia (1909-1938),BOL-1909-1938,BOL,1909,1938,29,VERIFIED,
Brazil,BRA-1909-2025,BRA,1909,2025,116,VERIFIED,
Peru (1909-1922),PER-1909-1922,PER,1909,1922,13,VERIFIED,
Thailand,THA-1909-2025,THA,1909,2025,116,VERIFIED,
French Equatorial Africa,FEA-1910-2025,FEA,1910,2025,115,REGION,
Italian Libia Cyrenaica (Lybia),ITL-1911-2025,ITL,1911,2025,114,VERIFIED,
Mongolia,MNG-1911-2025,MNG,1911,2025,114,VERIFIED,
Morocco (to 1958),MAR-1911-1958,MAR,1911,1958,47,VERIFIED,
Dodecanese Is.,DOD-1912-2025,DOD,1912,2025,113,VERIFIED,
Albania,ALB-1913-2025,ALB,1913,2025,112,VERIFIED,
Bulgaria (1913-1918),BGR-1913-1918,BGR,1913,1918,5,VERIFIED,
China (1913-1914),CHN-1913-1914,CHN,1913,1914,1,VERIFIED,
Greece (1913-1919),GRC-1913-1919,GRC,1913,1919,6,VERIFIED,
Montenegro (1913-1915),MNE-1913-1915,MNE,1913,1915,2,VERIFIED,
Romania (1913-1918),ROU-1913-1918,ROU,1913,1918,5,VERIFIED,
Serbia (1913-1915),SER-1913-1915,SER,1913,1915,2,VERIFIED,
Tibet (1913-1914),TIB-1913-1914,TIB,1913,1914,1,VERIFIED,
Türkiye (1913-1914),TUR-1913-1914,TUR,1913,1914,1,VERIFIED,
British Cameroon,BCA-1914-2025,BCA,1914,2025,111,VERIFIED,
China (1914-1921),CHN-1914-1921,CHN,1914,1921,7,VERIFIED,
Tibet (1914-1950),TIB-1914-1950,TIB,1914,1950,36,VERIFIED,
Türkiye (1914-1918),TUR-1914-1918,TUR,1914,1918,4,VERIFIED,
USSR (1914-1917),F228-1914-1917,F228,1914,1917,3,REGION,
Finland (1917-1940),FIN-1917-1940,FIN,1917,1940,23,REGION,
USSR (1917-1918),F228-1917-1918,F228,1917,1918,1,REGION,
Austria,AUT-1918-2025,AUT,1918,2025,107,VERIFIED,
Austria (1918-1919),AUT-1918-1919,AUT,1918,1919,1,VERIFIED,
Bulgaria (1918-1919),BGR-1918-1919,BGR,1918,1919,1,VERIFIED,
Czechoslovakia (1918-1938),F51-1918-1938,F51,1918,1938,20,REGION,
Estonia (1918-1940),EST-1918-1940,EST,1918,1940,22,VERIFIED,
Hungary (1918-1919),HUN-1918-1919,HUN,1918,1919,1,VERIFIED,
Jordan,JOR-1918-2025,JOR,1918,2025,107,VERIFIED,
Latvia (1918-1940),LVA-1918-1940,LVA,1918,1940,22,VERIFIED,
Lithuania (1918-1920),LTU-1918-1920,LTU,1918,1920,2,VERIFIED,
North Yemen,F246-1918-1990,F246,1918,1990,72,REGION,
Palestine/Jordan,PAL-1918-2025,PAL,1918,2025,107,VERIFIED,
Poland (1918-1919),POL-1918-1919,POL,1918,1919,1,VERIFIED,
Romania (1918-1919),ROU-1918-1919,ROU,1918,1919,1,VERIFIED,
Syria and Lebanon,SYR-1918-2025,SYR,1918,2025,107,VERIFIED,
Türkiye (1918-1920),TUR-1918-1920,TUR,1918,1920,2,VERIFIED,
USSR (1918-1920),F228-1918-1920,F228,1918,1920,2,REGION,
Yugoslavia (1918-1919),F248-1918-1919,F248,1918,1919,1,REGION,
Afghanistan,AFG-1919-2025,AFG,1919,2025,106,VERIFIED,
Bulgaria (1919-1940),BGR-1919-1940,BGR,1919,1940,21,VERIFIED,
France,FRA-1919-2025,FRA,1919,2025,106,REGION,
Germany (1919-1920),DEU-1919-1920,DEU,1919,1920,1,VERIFIED,
Greece,GRC-1919-2025,GRC,1919,2025,106,VERIFIED,
Hungary (1919-1920),HUN-1919-1920,HUN,1919,1920,1,VERIFIED,
Italy,ITA-1919-2025,ITA,1919,2025,106,VERIFIED,
Poland (1919-1920),POL-1919-1920,POL,1919,1920,1,VERIFIED,
Ras al Khaimah,RAS-1919-2025,RAS,1919,2025,106,VERIFIED,
Romania (1919-1920),ROU-1919-1920,ROU,1919,1920,1,VERIFIED,
Rwanda and Burundi,RWB-1919-2025,RWB,1919,2025,106,VERIFIED,
Yugoslavia (1919-1920),F248-1919-1920,F248,1919,1920,1,REGION,
Denmark,DNK-1920-2025,DNK,1920,2025,105,VERIFIED,
Germany (1920-1938),DEU-1920-1938,DEU,1920,1938,18,VERIFIED,
Hungary (1920-1938),HUN-1920-1938,HUN,1920,1938,18,VERIFIED,
Lithuania (1920-1940),LTU-1920-1940,LTU,1920,1940,20,VERIFIED,
Poland (1920-1921),POL-1920-1921,POL,1920,1921,1,VERIFIED,
Romania (1920-1940),ROU-1920-1940,ROU,1920,1940,20,VERIFIED,
Türkiye,TUR-1920-2025,TUR,1920,2025,105,VERIFIED,
USSR (1920-1921),F228-1920-1921,F228,1920,1921,1,REGION,
Yugoslavia (1920-1991),F248-1920-1991,F248,1920,1991,71,REGION,
China (1921-1945),CHN-1921-1945,CHN,1921,1945,24,VERIFIED,
Iraq,IRQ-1921-2025,IRQ,1921,2025,104,VERIFIED,
Ireland,IRL-1921-2025,IRL,1921,2025,104,VERIFIED,
Poland (1921-1945),POL-1921-1945,POL,1921,1945,24,VERIFIED,
USSR (1921-1940),F228-1921-1940,F228,1921,1940,19,REGION,
United Kingdom,GBR-1921-2025,GBR,1921,2025,104,VERIFIED,
British Malaya,BMA-1922-2025,BMA,1922,2025,103,VERIFIED,
Colombia,COL-1922-2025,COL,1922,2025,103,VERIFIED,
Egypt (1922-1925),EGY-1922-1925,EGY,1922,1925,3,VERIFIED,
Peru (1922-1942),PER-1922-1942,PER,1922,1942,20,VERIFIED,
Saudi Arabia (1924-1932),SAU-1924-1932,SAU,1924,1932,8,VERIFIED,
Egypt (1925-1967),EGY-1925-1967,EGY,1925,1967,42,VERIFIED,
Manchukuo,MAN-1932-1945,MAN,1932,1945,13,FIXED: end 2025->1945,
Saudi Arabia (1932-2000),SAU-1932-2000,SAU,1932,2000,68,VERIFIED,
Bolivia,BOL-1938-2025,BOL,1938,2025,87,VERIFIED,
Czechoslovakia (1938-1945),F51-1938-1945,F51,1938,1945,7,REGION,
Germany (1938-1945),DEU-1938-1945,DEU,1938,1945,7,VERIFIED,
Hungary (1938-1947),HUN-1938-1947,HUN,1938,1947,9,VERIFIED,
Paraguay,PRY-1938-2025,PRY,1938,2025,87,VERIFIED,
Bulgaria,BGR-1940-2025,BGR,1940,2025,85,VERIFIED,
Finland,FIN-1940-2025,FIN,1940,2025,85,REGION,
Romania,ROU-1940-2025,ROU,1940,2025,85,VERIFIED,
USSR (1940-1945),F228-1940-1945,F228,1940,1945,5,REGION,
Ecuador,ECU-1942-2025,ECU,1942,2025,83,VERIFIED,
Peru,PER-1942-2025,PER,1942,2025,83,VERIFIED,
Lebanon,LBN-1944-2025,LBN,1944,2025,81,VERIFIED,
China (1945-1947),CHN-1945-1947,CHN,1945,1947,2,VERIFIED,
Czechoslovakia (1945-1947),F51-1945-1947,F51,1945,1947,2,REGION,
Indonesia (1945-1949),IDN-1945-1949,IDN,1945,1949,4,VERIFIED,
Poland,POL-1945-2025,POL,1945,2025,80,VERIFIED,
USSR (1945-1991),F228-1945-1991,F228,1945,1991,46,REGION,
Syrian Arab Republic (1946-1967),SYR-1946-1967,SYR,1946,1967,21,VERIFIED,
China (1947-1949),CHN-1947-1949,CHN,1947,1949,2,VERIFIED,
Czechoslovakia (1947-1993),F51-1947-1993,F51,1947,1993,46,REGION,
Hungary,HUN-1947-2025,HUN,1947,2025,78,VERIFIED,
India (1947-1949),IND-1947-1949,IND,1947,1949,2,VERIFIED,
Pakistan (1947-1949),PAK-1947-1949,PAK,1947,1949,2,VERIFIED,
Canada,CAN-1948-2025,CAN,1948,2025,77,VERIFIED,
Israel (1948-1967),ISR-1948-1967,ISR,1948,1967,19,VERIFIED,
North Korea,PRK-1948-2025,PRK,1948,2025,77,VERIFIED,
South Korea,KOR-1948-2025,KOR,1948,2025,77,VERIFIED,
China (1949-1950),CHN-1949-1950,CHN,1949,1950,1,VERIFIED,
East Germany,F77-1949-1990,F77,1949,1990,41,REGION,
India,IND-1949-2025,IND,1949,2025,76,VERIFIED,
Indonesia (1949-1969),IDN-1949-1969,IDN,1949,1969,20,VERIFIED,
Pakistan (1949-1971),PAK-1949-1971,PAK,1949,1971,22,VERIFIED,
West Germany,F78-1949-1990,F78,1949,1990,41,REGION,
China,F351-1950-2025,F351,1950,2025,75,REGION,
Libya,LBY-1951-2025,LBY,1951,2025,74,VERIFIED,
Ethiopia (1952-1993),ETH-1952-1993,ETH,1952,1993,41,VERIFIED,
Cambodia,KHM-1953-2025,KHM,1953,2025,72,VERIFIED,
Laos,LAO-1954-2025,LAO,1954,2025,71,VERIFIED,
North Vietnam,NVI-1954-1975,NVI,1954,1975,21,VERIFIED,
South Vietnam,SVI-1954-1975,SVI,1954,1975,21,VERIFIED,
Sudan (1956-2011),SUD-1956-2011,SUD,1956,2011,55,VERIFIED,
Ghana,GHA-1957-2025,GHA,1957,2025,68,VERIFIED,
Malaysia (1957-1963),MYS-1957-1963,MYS,1957,1963,6,VERIFIED,
Guinea,GIN-1958-2025,GIN,1958,2025,67,VERIFIED,
Morocco (1958-1975),MAR-1958-1975,MAR,1958,1975,17,VERIFIED,
United States of America,USA-1959-2025,USA,1959,2025,66,VERIFIED,
Benin,BEN-1960-2025,BEN,1960,2025,65,VERIFIED,
Burkina Faso,BFA-1960-2025,BFA,1960,2025,65,VERIFIED,
Cameroon (1960-1961),CMR-1960-1961,CMR,1960,1961,1,VERIFIED,
Central African Republic,CAF-1960-2025,CAF,1960,2025,65,VERIFIED,
Chad,TCD-1960-2025,TCD,1960,2025,65,VERIFIED,
Congo,COG-1960-2025,COG,1960,2025,65,VERIFIED,
Côte d'Ivoire,CIV-1960-2025,CIV,1960,2025,65,VERIFIED,
Democratic Republic of the Congo,COD-1960-2025,COD,1960,2025,65,VERIFIED,
Gabon,GAB-1960-2025,GAB,1960,2025,65,VERIFIED,
Mali,MLI-1960-2025,MLI,1960,2025,65,VERIFIED,
Mauritania (1960-1975),MRT-1960-1975,MRT,1960,1975,15,VERIFIED,
Niger,NER-1960-2025,NER,1960,2025,65,VERIFIED,
Nigeria (1960-1961),NGA-1960-1961,NGA,1960,1961,1,VERIFIED,
Senegal,SEN-1960-2025,SEN,1960,2025,65,VERIFIED,
Somalia,SOM-1960-2025,SOM,1960,2025,65,VERIFIED,
Togo,TGO-1960-2025,TGO,1960,2025,65,VERIFIED,
Cameroon,CMR-1961-2025,CMR,1961,2025,64,VERIFIED,
Nigeria,NGA-1961-2025,NGA,1961,2025,64,VERIFIED,
Tanzania (1961-1964),TZA-1961-1964,TZA,1961,1964,3,VERIFIED,
Burundi,BDI-1962-2025,BDI,1962,2025,63,VERIFIED,
Rwanda,RWA-1962-2025,RWA,1962,2025,63,VERIFIED,
Uganda,UGA-1962-2025,UGA,1962,2025,63,VERIFIED,
Kenya,KEN-1963-2025,KEN,1963,2025,62,VERIFIED,
Malaysia (1963-1965),MYS-1963-1965,MYS,1963,1965,2,VERIFIED,
Malawi,MWI-1964-2025,MWI,1964,2025,61,VERIFIED,
Tanzania,TZA-1964-2025,TZA,1964,2025,61,VERIFIED,
Zambia,ZMB-1964-2025,ZMB,1964,2025,61,VERIFIED,
Malaysia,MYS-1965-2025,MYS,1965,2025,60,VERIFIED,
Singapore,SGP-1965-2025,SGP,1965,2025,60,VERIFIED,
Botswana,BWA-1966-2025,BWA,1966,2025,59,VERIFIED,
Lesotho,LSO-1966-2025,LSO,1966,2025,59,VERIFIED,
Egypt (1967-1979),EGY-1967-1979,EGY,1967,1979,12,VERIFIED,
Israel (1967-1979),ISR-1967-1979,ISR,1967,1979,12,VERIFIED,
South Yemen,F247-1967-1990,F247,1967,1990,23,REGION,
Syrian Arab Republic,SYR-1967-2025,SYR,1967,2025,58,VERIFIED,
Equatorial Guinea,GNQ-1968-2025,GNQ,1968,2025,57,VERIFIED,
Indonesia (1969-1976),IDN-1969-1976,IDN,1969,1976,7,VERIFIED,
Bangladesh,BGD-1971-2025,BGD,1971,2025,54,VERIFIED,
Pakistan,PAK-1971-2025,PAK,1971,2025,54,VERIFIED,
United Arab Emirates,ARE-1971-2025,ARE,1971,2025,54,VERIFIED,
Comoros,COM-1975-2025,COM,1975,2025,50,VERIFIED,
Mauritania (1975-1979),MRT-1975-1979,MRT,1975,1979,4,VERIFIED,
Morocco (1975-1979),MAR-1975-1979,MAR,1975,1979,4,VERIFIED,
Papua New Guinea,PNG-1975-2025,PNG,1975,2025,50,VERIFIED,
Suriname,SUR-1975-2025,SUR,1975,2025,50,VERIFIED,
Vietnam,VNM-1975-2025,VNM,1975,2025,50,VERIFIED,
Indonesia (1976-2002),IDN-1976-2002,IDN,1976,2002,26,VERIFIED,
Djibouti,DJI-1977-2025,DJI,1977,2025,48,VERIFIED,
Egypt,EGY-1979-2025,EGY,1979,2025,46,VERIFIED,
Israel,ISR-1979-2025,ISR,1979,2025,46,VERIFIED,
Mauritania,MRT-1979-2025,MRT,1979,2025,46,VERIFIED,
Morocco,MAR-1979-2025,MAR,1979,2025,46,VERIFIED,
Aruba,ABW-1986-2025,ABW,1986,2025,39,VERIFIED,
Netherlands Antilles,ANT-1986-2010,ANT,1986,2010,24,VERIFIED,
Germany,DEU-1990-2025,DEU,1990,2025,35,VERIFIED,
Yemen (1990-2000),YEM-1990-2000,YEM,1990,2000,10,VERIFIED,
Armenia,ARM-1991-2025,ARM,1991,2025,34,VERIFIED,
Azerbaijan,AZE-1991-2025,AZE,1991,2025,34,VERIFIED,
Belarus,BLR-1991-2025,BLR,1991,2025,34,VERIFIED,
Estonia,EST-1991-2025,EST,1991,2025,34,VERIFIED,
Georgia,GEO-1991-2025,GEO,1991,2025,34,VERIFIED,
Kazakhstan,KAZ-1991-2025,KAZ,1991,2025,34,VERIFIED,
Kyrgyzstan,KGZ-1991-2025,KGZ,1991,2025,34,VERIFIED,
Latvia,LVA-1991-2025,LVA,1991,2025,34,VERIFIED,
Lithuania,LTU-1991-2025,LTU,1991,2025,34,VERIFIED,
Micronesia,FSM-1991-2025,FSM,1991,2025,34,REGION,
Moldova,MDA-1991-2025,MDA,1991,2025,34,VERIFIED,
North Macedonia,MKD-1991-2025,MKD,1991,2025,34,VERIFIED,
Northern Mariana Islands,MNP-1991-2025,MNP,1991,2025,34,VERIFIED,
Palau,PLW-1991-2025,PLW,1991,2025,34,VERIFIED,
Russia (1991-2014),RUS-1991-2014,RUS,1991,2014,23,VERIFIED,
Tajikistan,TJK-1991-2025,TJK,1991,2025,34,VERIFIED,
Turkmenistan,TKM-1991-2025,TKM,1991,2025,34,VERIFIED,
Ukraine (1991-2014),UKR-1991-2014,UKR,1991,2014,23,VERIFIED,
Uzbekistan,UZB-1991-2025,UZB,1991,2025,34,VERIFIED,
Yugoslavia (1991-1992),F248-1991-1992,F248,1991,1992,1,REGION,
Bosnia and Herzegovina,BIH-1992-2025,BIH,1992,2025,33,VERIFIED,
Croatia,HRV-1992-2025,HRV,1992,2025,33,VERIFIED,
Serbia and Montenegro,SCG-1992-2006,SCG,1992,2006,14,VERIFIED,
Slovenia,SVN-1992-2025,SVN,1992,2025,33,VERIFIED,
Czechia,CZE-1993-2025,CZE,1993,2025,32,VERIFIED,
Ethiopia,ETH-1993-2025,ETH,1993,2025,32,VERIFIED,
Slovakia,SVK-1993-2025,SVK,1993,2025,32,VERIFIED,
Palestine,PSE-1999-2025,PSE,1999,2025,26,VERIFIED,
Luxembourg,LUX-2000-2025,LUX,2000,2025,25,VERIFIED,
Saudi Arabia,SAU-2000-2025,SAU,2000,2025,25,VERIFIED,
Yemen,YEM-2000-2025,YEM,2000,2025,25,VERIFIED,
Indonesia,IDN-2002-2025,IDN,2002,2025,23,VERIFIED,
Mayotte,MYT-2002-2025,MYT,2002,2025,23,VERIFIED,
Åland Islands,ALA-2003-2025,ALA,2003,2025,22,VERIFIED,
Central Asia,F5301-2005-2025,F5301,2005,2025,20,REGION,
Guernsey,GGY-2005-2025,GGY,2005,2025,20,VERIFIED,
Jersey,JEY-2005-2025,JEY,2005,2025,20,VERIFIED,
Southern Asia,F5303-2005-2025,F5303,2005,2025,20,REGION,
Montenegro,MNE-2006-2025,MNE,2006,2025,19,VERIFIED,
Serbia (2006-2008),SER-2006-2008,SER,2006,2008,2,VERIFIED,
Saint Barthélemy,BLM-2007-2025,BLM,2007,2025,18,VERIFIED,
Saint Martin (French part),MAF-2007-2025,MAF,2007,2025,18,VERIFIED,
Kosovo,KOS-2008-2025,KOS,2008,2025,17,VERIFIED,
Serbia,SRB-2008-2025,SRB,2008,2025,17,VERIFIED,
"Bonaire, Sint Eustatius and Saba",BES-2010-2025,BES,2010,2025,15,VERIFIED,
Curaçao,CUW-2010-2025,CUW,2010,2025,15,VERIFIED,
Sint Maarten (Dutch part),SXM-2010-2025,SXM,2010,2025,15,VERIFIED,
Sark,F285-2011-2023,F285,2011,2023,12,REGION,
South Sudan,SSD-2011-2025,SSD,2011,2025,14,VERIFIED,
Sudan,SDN-2011-2025,SDN,2011,2025,14,VERIFIED,
Russia,RUS-2014-2025,RUS,2014,2025,11,VERIFIED,
Ukraine,UKR-2014-2025,UKR,2014,2025,11,VERIFIED,
Sub-Saharan Africa,F420-2017-2025,F420,2017,2025,8,REGION,
Developed regions,DEDREG-2021-2025,DEDREG,2021,2025,4,VERIFIED,
Developing regions,DNGREG-2021-2025,DNGREG,2021,2025,4,VERIFIED,
