source,country,item,unit,constant,n_values,year_first,year_last,series_n,grid,finest_elsewhere,n_finer_elsewhere,finer_in_volume_year,finer_in_volume_value,verdict,precision_era,precision_grid
juan,sweden,tobacco unmanufactured,tonnes,300.000,5,1950,1955,55,100,384.000,40,,,UNDETERMINED,all,mixed
juan,switzerland,maize,tonnes,4000.000,5,1953,1957,53,1000,2100.000,35,,,UNDETERMINED,all,mixed
juan,united states of america,oil olive virgin,tonnes,700.000,5,1932,1936,46,100,192.913,16,,,UNDETERMINED,all,mixed
juan,uruguay,grapes,ha,18000.000,5,1943,1949,52,1000,3610.000,29,,,UNDETERMINED,all,mixed
juan,yugoslav sfr,rice paddy,ha,3000.000,5,1934,1938,29,1000,1100.000,8,,,UNDETERMINED,all,mixed
mitchell,australia,rice paddy,ha,10000.000,5,1937,1941,35,10000,1000.000,27,,,EXPLAINED,all,1000
mitchell,dr congo,sheep,heads,300000.000,5,1919,1923,26,100000,244000.000,20,,,EXPLAINED,all,1000
mitchell,indonesia,tea,tonnes,1000.000,5,1858,1862,104,1000,700.000,39,,,EXPLAINED,all,100
mitchell,lebanon,wheat,ha,70000.000,5,1953,1957,20,10000,53000.000,11,,,EXPLAINED,all,1000
mitchell,senegal,rice paddy,ha,50000.000,5,1922,1926,37,10000,31000.000,24,,,EXPLAINED,all,1000
mitchell,sierra leone,rice paddy,tonnes,190000.000,5,1940,1944,42,10000,102000.000,30,,,EXPLAINED,all,100
